time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,Kp,ap,keogram_mean,keogram_median,keogram_max
2012-02-15 04:00:00,92.25716400146484,92.36062622070312,96.09512329101562,95.03909301757812,0.2754098773002624,0.1482990682125091,0.774321436882019,0.4155414998531341,-7.435787677764893,-7.272979736328125,-5.938812255859375,-6.776580810546875,0.003478407628956,0.0020994625519961,0.0116667058318853,0.00308293919079,0.0,5.333,56.0,100.7,93.54,239.45
2012-02-15 05:00:00,92.51611328125,92.88999938964844,96.35337829589844,95.46836853027344,0.2467632591724395,0.1550375670194625,0.7161795496940613,0.3560415804386139,-8.170488357543945,-7.937835693359375,-6.772003173828125,-7.678314208984375,0.0010344176887614,0.0002130400389432,0.0054615084081888,0.0011398224160075,0.0,5.333,56.0,67.27,67.65,142.91
2012-02-15 06:00:00,92.36386108398438,92.76309204101562,96.46133422851562,95.20474243164062,0.3018273115158081,0.2244432121515274,0.7505967617034912,0.5544450283050537,-9.16783618927002,-8.884918212890625,-7.610198974609375,-8.662933349609375,0.0005869124761295,8.981442078948021e-05,0.0036410056054592,0.000198371708393,0.0,3.667,22.0,61.23,58.57,243.14
2012-02-15 07:00:00,92.59498596191406,93.77198791503906,96.42677307128906,95.31251525878906,0.2842898964881897,0.1108856201171875,0.824462890625,0.4715576171875,-9.83741283416748,-9.336273193359377,-8.267242431640625,-9.180023193359377,0.0002161171938979,0.0,0.0013902608770877,0.0001440348569303,0.0,3.667,22.0,117.87,118.4,248.73
2012-02-15 08:00:00,92.34664916992188,93.903564453125,96.247314453125,95.42626953125,0.2836652994155884,0.2433379888534546,0.5872405767440796,0.4143890142440796,-10.522050857543944,-10.265716552734377,-8.456390380859375,-9.773040771484377,9.772558796112916e-05,0.0,0.0006718328222632,8.979986887425184e-05,0.0,3.667,22.0,72.99,68.31,210.27
2012-02-15 09:00:00,92.58792114257812,94.88243103027344,96.79429626464844,95.83555603027344,0.5102847218513489,0.4554598927497864,0.9290621876716614,0.8734744191169739,-11.119218826293944,-10.525238037109377,-8.617767333984375,-10.400970458984377,6.819858615817167e-05,0.0,0.000391824869439,8.980714483186603e-05,0.0,3.333,18.0,52.36,48.01,189.11
2012-02-15 10:00:00,90.98030090332033,93.49787902832033,95.82771301269533,94.36872863769533,0.6044476628303528,0.6013179421424866,0.9999995827674866,0.9999995827674866,-11.386457443237305,-11.519256591796877,-8.571868896484375,-10.369598388671877,9.459714330232187e-05,0.0,0.0004768371582031,0.0001454318407922,0.0,3.333,18.0,89.67,73.78,248.96
2012-02-15 11:00:00,91.60096740722656,93.99609375,97.436767578125,95.871337890625,0.7055554389953613,0.9523409008979796,0.9999940991401672,0.9999940991401672,-11.99406909942627,-12.763763427734377,-8.697113037109375,-10.552093505859377,9.954701388153862e-05,0.0,0.0003870300133712,0.0001207954483106,0.0,3.333,18.0,144.28,144.83,249.07
2012-02-15 12:00:00,92.00582885742188,94.77340698242188,99.61227416992188,96.72555541992188,0.747675359249115,0.988982915878296,0.9999997615814208,0.997466802597046,-11.34523868560791,-12.004119873046877,-7.846038818359375,-9.851409912109377,0.0002976799913756,0.0,0.0013088283594697,0.0003870227374136,0.0,2.667,12.0,50.9,45.02,198.38
2012-02-15 13:00:00,91.54568481445312,94.4775390625,100.8984375,97.31689453125,0.8145368099212646,0.967140018939972,1.000007390975952,0.9958418011665344,-11.43826961517334,-11.866912841796877,-7.682952880859375,-9.805511474609377,0.0005298257018107,0.0,0.0023267930373549,0.0002460437826812,0.0,2.667,12.0,76.29,61.75,234.83
