Split,Method,RMSE,MAE,R2,Pearson,DTW,F1_q90,Prec_q90,Rec_q90,Thr_q90
VAL,Model(log-target),20.959710553209394,13.687141131085903,0.35456625540050746,0.5999615846246276,7758.457796183394,0.3484848484848485,0.48936170212765956,0.27058823529411763,73.13200000000002
VAL,Baseline-mean,26.089121008742907,18.721822888702988,0.0,-2.0530666121972821e-16,15894.827632508837,0.0,0.0,0.0,73.13200000000002
VAL,Baseline-median,27.881223528419554,16.791919905771497,-0.1421016584896626,,14256.33999999998,0.0,0.0,0.0,73.13200000000002
VAL,Baseline-persist,25.18248278043775,15.067644287396938,0.06829549156787751,0.5340214230364233,1.4600000000000009,0.4117647058823529,0.4117647058823529,0.4117647058823529,73.13200000000002
TEST,Model(log-target),19.301787533009318,12.964875005869473,0.32474752491619674,0.5879755922798102,15690.666545307662,0.42483660130718953,0.5462184873949579,0.34759358288770054,67.25400000000002
TEST,Baseline-mean,23.488995158833262,17.26766768682302,0.0,1.1418776915888847e-16,32204.20023592497,0.0,0.0,0.0,67.25400000000002
TEST,Baseline-median,25.290931373888018,15.416922252010723,-0.1593131698529031,1.1418776915888847e-16,28752.56000000003,0.0,0.0,0.0,67.25400000000002
TEST,Baseline-persist,23.1107727929741,14.411871313672922,0.03194494054745056,0.5159333261511777,292.18,0.39037433155080214,0.39037433155080214,0.39037433155080214,67.25400000000002
