Split,Method,RMSE,MAE
VAL,Model,23.759717115570975,15.82087021005104
VAL,Baseline-mean,26.089121008742907,18.721822888702988
VAL,Baseline-median,27.881223528419554,16.791919905771497
TEST,Model,21.48134108430115,14.991799772117965
TEST,Baseline-mean,23.488995158833262,17.26766768682302
TEST,Baseline-median,25.290931373888018,15.416922252010723
VAL,Ensemble,23.68577283538596,15.971145335470926
TEST,Ensemble,21.721109164900195,15.387506766458149
