segment,mean,median,max,sunlight_contamination
2019-01-07-18,10.39,0.00,158.71,0
2019-01-07-19,0.00,0.00,0.00,0
2019-01-07-20,0.00,0.00,0.00,0
2019-01-07-21,0.00,0.00,0.00,0
2019-01-07-22,0.00,0.00,0.00,0
2019-01-07-23,0.00,0.00,0.00,0
2019-01-08-0,0.00,0.00,0.00,0
2019-01-08-1,12.29,0.00,130.23,0
2019-01-08-2,15.28,9.85,126.89,0
2019-01-08-3,5.22,5.45,21.14,0
2019-01-08-4,4.76,4.98,15.57,0
2019-01-08-5,4.46,4.68,21.95,0
2019-01-08-6,4.49,4.86,12.50,0
2019-01-08-7,5.22,5.45,9.24,0
2019-01-08-8,6.23,6.75,11.02,0
2019-01-08-9,16.94,15.60,46.58,0
2019-01-08-10,26.29,27.14,43.70,0
2019-01-08-11,19.02,19.45,40.55,0
2019-01-08-12,8.39,8.81,14.28,0
2019-01-08-13,5.95,6.35,17.45,0
2019-01-08-14,5.41,5.86,14.90,0
2019-01-08-15,4.67,5.04,14.13,0
2019-01-08-16,4.89,5.15,9.18,0
2019-01-08-17,19.82,11.47,138.34,0
2019-01-08-18,10.26,0.00,139.34,0
2019-01-08-19,0.00,0.00,0.00,0
2019-01-08-20,0.00,0.00,0.00,0
2019-01-08-21,0.00,0.00,0.00,0
2019-01-08-22,0.00,0.00,0.00,0
2019-01-08-23,0.00,0.00,0.00,0
2019-01-09-0,0.00,0.00,0.00,0
2019-01-09-1,5.59,0.00,34.57,0
2019-01-09-2,12.40,8.50,34.45,0
2019-01-09-3,4.76,5.28,9.48,0
2019-01-09-4,4.40,4.88,7.17,0
2019-01-09-5,4.51,4.88,14.14,0
2019-01-09-6,4.69,5.16,8.66,0
2019-01-09-7,5.12,5.58,10.40,0
2019-01-09-8,16.81,14.59,46.77,0
2019-01-09-9,19.43,17.65,51.28,0
2019-01-09-10,7.87,8.35,15.19,0
2019-01-09-11,5.95,6.63,9.95,0
2019-01-09-12,5.96,6.64,9.43,0
2019-01-09-13,4.86,5.28,10.74,0
2019-01-09-14,3.99,4.28,7.36,0
2019-01-09-15,3.32,3.68,32.32,0
2019-01-09-16,2.99,3.38,5.39,0
2019-01-09-17,12.88,6.37,66.23,0
2019-01-09-18,10.33,0.00,64.65,0
2019-01-09-19,0.00,0.00,0.00,0
2019-01-09-20,0.00,0.00,0.00,0
2019-01-09-21,0.00,0.00,0.00,0
2019-01-09-22,0.00,0.00,0.00,0
2019-01-09-23,0.00,0.00,0.00,0
2019-01-10-0,0.00,0.00,0.00,0
2019-01-10-1,4.34,0.00,33.22,0
2019-01-10-2,10.03,6.56,33.52,0
2019-01-10-3,2.71,3.08,5.46,0
2019-01-10-4,2.81,3.08,5.58,0
2019-01-10-5,2.73,3.08,5.81,0
2019-01-10-6,2.97,3.27,6.17,0
2019-01-10-7,3.40,3.79,6.59,0
2019-01-10-8,5.61,5.85,12.34,0
2019-01-10-9,6.23,7.03,11.12,0
2019-01-10-10,5.31,5.85,9.83,0
2019-01-10-11,4.40,4.86,9.05,0
2019-01-10-12,5.04,5.45,10.94,0
2019-01-10-13,21.25,18.54,52.28,0
2019-01-10-14,24.18,22.53,59.80,0
2019-01-10-15,6.28,6.68,13.59,0
2019-01-10-16,3.71,4.09,7.28,0
2019-01-10-17,14.47,8.29,80.94,0
2019-01-10-18,5.76,0.00,64.45,0
2019-01-10-19,0.00,0.00,0.00,0
2019-01-10-20,0.00,0.00,0.00,0
2019-01-10-21,0.00,0.00,0.00,0
2019-01-10-22,0.00,0.00,0.00,0
2019-01-10-23,0.00,0.00,0.00,0
2019-01-11-0,0.00,0.00,0.00,0
2019-01-11-1,3.29,0.00,42.71,0
2019-01-11-2,13.91,9.90,44.44,0
2019-01-11-3,3.80,4.28,9.98,0
2019-01-11-4,3.40,3.91,6.06,0
2019-01-11-5,3.63,4.09,6.35,0
2019-01-11-6,6.78,5.39,21.72,0
2019-01-11-7,32.47,35.11,71.97,0
2019-01-11-8,28.13,28.88,70.50,0
