segment,mean,median,max,sunlight_contamination,dark_segment
2023-02-08-0,1.51,0.0,198.06,0,1
2023-02-08-3,28.88,22.97,223.18,0,0
2023-02-08-6,32.64,25.22,130.45,0,0
2023-02-08-9,74.37,75.58,154.96,0,0
2023-02-08-12,92.45,94.21,223.89,0,0
2023-02-08-15,32.91,34.12,96.31,0,0
2023-02-08-18,0.0,0.0,0.0,0,1
2023-02-08-21,0.0,0.0,0.0,0,1
2023-02-09-0,0.63,0.0,42.11,0,1
2023-02-09-3,24.39,16.95,132.74,0,0
2023-02-09-6,30.9,19.21,212.54,0,0
2023-02-09-9,53.61,43.0,213.62,0,0
2023-02-09-12,59.85,54.49,221.54,0,0
2023-02-09-15,44.58,47.02,180.64,0,0
2023-02-09-18,0.0,0.0,0.0,0,1
2023-02-09-21,0.0,0.0,0.0,0,1
2023-02-10-0,0.0,0.0,0.0,0,1
2023-02-10-3,30.7,24.47,162.82,0,0
2023-02-10-6,28.89,26.4,144.44,0,0
2023-02-10-9,64.42,51.66,218.84,0,0
2023-02-10-12,91.61,69.63,239.15,0,0
2023-02-10-15,34.98,36.89,218.02,0,0
2023-02-10-18,0.0,0.0,0.0,0,1
2023-02-10-21,0.0,0.0,0.0,0,1
2023-02-11-0,0.0,0.0,0.0,0,1
2023-02-11-3,30.34,22.06,217.43,0,0
2023-02-11-6,24.8,21.54,183.23,0,0
2023-02-11-9,67.87,60.41,217.98,0,0
2023-02-11-12,38.31,35.47,142.45,0,0
2023-02-11-15,19.22,14.17,130.54,0,1
2023-02-11-18,0.0,0.0,0.0,0,1
2023-02-11-21,0.0,0.0,0.0,0,1
2023-02-12-0,0.0,0.0,0.0,0,1
2023-02-12-3,21.11,11.71,175.62,0,1
2023-02-12-6,35.43,28.04,209.25,0,0
2023-02-12-9,30.37,27.08,188.76,0,0
2023-02-12-12,21.04,19.73,46.91,0,0
2023-02-12-15,27.82,28.15,106.47,0,0
2023-02-12-18,0.0,0.0,0.0,0,1
2023-02-12-21,0.0,0.0,0.0,0,1
2023-02-13-0,0.0,0.0,0.0,0,1
2023-02-13-3,17.01,8.89,72.98,0,1
2023-02-13-6,8.27,8.41,14.27,0,1
2023-02-13-9,20.59,14.77,76.17,0,1
2023-02-13-12,28.58,19.06,83.66,0,0
2023-02-13-15,18.03,9.47,87.18,0,1
2023-02-13-18,0.0,0.0,0.0,0,1
2023-02-13-21,0.0,0.0,0.0,0,1
2023-02-14-0,0.0,0.0,0.0,0,1
2023-02-14-3,15.29,7.32,65.88,0,1
2023-02-14-6,26.07,15.8,196.07,0,0
