segment,mean,median,max,sunlight_contamination
2022-01-08-0,0.00,0.00,0.00,0
2022-01-08-3,0.00,0.00,0.00,0
2022-01-08-6,0.00,0.00,0.00,0
2022-01-08-9,0.00,0.00,0.00,0
2022-01-08-12,0.00,0.00,0.00,0
2022-01-08-15,0.00,0.00,0.00,0
2022-01-08-18,0.00,0.00,0.00,0
2022-01-08-21,0.00,0.00,0.00,0
2022-01-13-0,8.59,0.00,136.99,0
2022-01-13-3,14.35,1.90,136.99,0
2022-01-13-6,13.39,2.08,248.96,0
2022-01-13-9,8.37,0.90,133.98,0
2022-01-13-12,16.47,2.46,137.58,0
2022-01-13-15,22.77,7.63,137.58,0
2022-01-13-18,1.66,0.00,129.10,0
2022-01-13-21,0.00,0.00,0.00,0
2022-01-14-0,11.98,0.00,204.52,0
2022-01-14-3,8.34,1.20,139.34,0
2022-01-14-6,12.06,10.26,92.27,0
2022-01-14-9,15.36,8.35,139.93,0
2022-01-14-12,19.38,8.98,145.98,0
2022-01-14-15,27.05,17.94,149.03,0
2022-01-14-18,0.40,0.00,66.66,0
2022-01-14-21,0.00,0.00,0.00,0
2022-01-19-0,2.46,0.00,138.16,0
2022-01-19-3,5.80,0.00,137.38,0
2022-01-19-6,4.43,0.00,139.04,0
2022-01-19-9,5.50,0.00,81.18,0
2022-01-19-12,5.67,0.00,221.54,0
2022-01-19-15,17.10,1.52,143.73,0
2022-01-19-18,0.00,0.00,0.00,0
2022-01-19-21,0.00,0.00,0.00,0
2022-01-20-0,7.66,0.00,135.81,0
2022-01-20-3,19.59,7.75,135.98,0
2022-01-20-6,9.66,3.59,138.74,0
2022-01-20-9,14.65,8.07,138.16,0
2022-01-20-12,25.73,15.03,248.27,0
2022-01-20-15,27.80,18.26,137.87,0
2022-01-20-18,0.00,0.00,0.00,0
2022-01-20-21,0.00,0.00,0.00,0
2022-01-21-0,7.60,0.00,136.69,0
2022-01-21-3,25.98,13.23,137.28,0
2022-01-21-6,17.88,7.63,141.10,0
2022-01-21-9,11.36,5.16,140.51,0
2022-01-21-12,28.37,17.66,247.59,0
2022-01-21-15,22.24,13.54,143.74,0
2022-01-21-18,0.00,0.00,0.00,0
2022-01-21-21,0.00,0.00,0.00,0
2022-01-22-0,8.02,0.00,140.80,0
2022-01-22-3,29.71,16.50,141.69,0
2022-01-22-6,31.33,16.25,139.63,0
2022-01-22-9,18.90,7.57,148.84,0
2022-01-22-12,20.66,5.28,143.32,0
2022-01-22-15,31.28,11.68,223.30,0
