segment,mean,median,max,sunlight_contamination,dark_segment
2013-01-01-0,9.06,0.0,246.11,0,1
2013-01-01-3,3.68,2.98,22.36,0,1
2013-01-01-6,9.33,9.24,24.33,0,1
2013-01-01-9,15.82,19.74,26.43,1,0
2013-01-01-12,14.49,16.02,26.21,0,0
2013-01-01-15,14.4,14.83,37.84,0,1
2013-01-01-18,5.13,0.0,64.02,0,1
2013-01-01-21,0.0,0.0,0.0,0,1
2013-01-02-0,8.09,0.0,60.47,0,1
2013-01-02-3,2.38,2.09,21.77,0,1
2013-01-02-6,5.84,4.77,23.3,0,1
2013-01-02-9,21.19,20.89,63.46,0,0
2013-01-02-12,52.66,49.01,184.79,0,0
2013-01-02-15,22.13,20.38,202.6,0,0
2013-01-02-18,1.37,0.0,52.66,0,1
2013-01-02-21,0.0,0.0,0.0,0,1
2013-01-03-0,8.56,0.0,244.85,0,1
2013-01-03-3,5.86,5.63,24.66,0,1
2013-01-03-6,6.43,5.34,33.78,0,1
2013-01-03-9,13.76,11.56,174.38,0,1
2013-01-03-12,14.44,15.17,29.1,0,0
2013-01-03-15,14.99,12.56,248.62,0,1
2013-01-03-18,2.37,0.0,48.31,0,1
2013-01-03-21,0.0,0.0,0.0,0,1
2013-01-04-0,7.36,0.0,67.6,0,1
2013-01-04-3,5.01,4.46,24.12,0,1
2013-01-04-6,4.89,4.76,23.53,0,1
2013-01-04-9,5.05,4.76,27.04,0,1
2013-01-04-12,7.14,7.13,25.38,0,1
2013-01-04-15,9.76,7.13,246.11,0,1
2013-01-04-18,1.55,0.0,36.68,0,1
2013-01-04-21,0.0,0.0,0.0,0,1
2013-01-05-0,5.06,0.0,33.12,0,1
2013-01-05-3,5.38,5.06,29.4,0,1
2013-01-05-6,6.85,5.63,42.72,0,1
2013-01-05-9,5.01,4.72,58.88,0,1
2013-01-05-12,0.0,0.0,0.0,0,1
2013-01-05-15,1.6,0.0,133.02,0,1
2013-01-05-18,4.47,0.0,105.79,0,1
2013-01-05-21,0.0,0.0,0.0,0,1
2013-01-06-0,8.56,0.0,127.89,0,1
2013-01-06-3,6.0,5.04,31.73,0,1
2013-01-06-6,5.74,4.44,29.38,0,1
2013-01-06-9,7.73,5.35,93.11,0,1
2013-01-06-12,7.47,6.22,36.98,0,1
2013-01-06-15,7.62,5.06,44.42,0,1
2013-01-06-18,2.16,0.0,44.37,0,1
2013-01-06-21,0.0,0.0,0.0,0,1
2013-01-07-0,8.13,0.0,246.45,0,1
2013-01-07-3,4.81,3.58,41.21,0,1
2013-01-07-6,7.07,3.58,170.57,0,1
2013-01-07-9,5.26,2.68,92.34,0,1
2013-01-07-12,2.43,2.09,21.18,0,1
2013-01-07-15,7.12,2.99,99.16,0,1
2013-01-07-18,2.72,0.0,94.81,0,1
2013-01-07-21,0.0,0.0,0.0,0,1
2013-01-08-0,7.06,0.0,222.71,0,1
2013-01-08-3,3.36,2.09,21.7,0,1
2013-01-08-6,2.28,1.49,22.3,0,1
2013-01-08-9,2.5,1.2,76.45,0,1
2013-01-08-12,2.61,1.49,27.64,0,1
2013-01-08-15,8.56,3.59,68.71,0,1
2013-01-08-18,1.56,0.0,50.93,0,1
2013-01-08-21,0.0,0.0,0.0,0,1
2013-01-09-0,5.85,0.0,92.71,0,1
2013-01-09-3,2.38,2.09,228.21,0,1
2013-01-09-6,9.7,5.07,192.26,0,1
2013-01-09-9,28.19,16.86,226.63,0,0
2013-01-09-12,4.31,2.39,53.96,0,1
2013-01-09-15,6.54,2.09,42.82,0,1
2013-01-09-18,1.41,0.0,42.28,0,1
2013-01-09-21,0.0,0.0,0.0,0,1
2013-01-10-0,6.99,0.0,247.31,0,1
2013-01-10-3,4.36,2.39,32.92,0,1
2013-01-10-6,4.19,2.69,23.78,0,1
2013-01-10-9,17.41,7.38,234.98,0,1
2013-01-10-12,5.59,2.68,55.08,0,1
2013-01-10-15,5.86,1.79,49.8,0,1
2013-01-10-18,1.66,0.0,48.92,0,1
2013-01-10-21,0.0,0.0,0.0,0,1
2013-01-11-0,5.36,0.0,40.76,0,1
2013-01-11-3,2.11,2.09,6.87,0,1
2013-01-11-6,2.88,2.99,7.44,0,1
2013-01-11-9,16.91,12.13,80.0,0,1
2013-01-11-12,17.33,10.09,148.48,0,1
2013-01-11-15,7.66,3.89,46.9,0,1
2013-01-11-18,1.46,0.0,46.51,0,1
2013-01-11-21,0.0,0.0,0.0,0,1
2013-01-12-0,4.55,0.0,32.94,0,1
2013-01-12-3,1.24,1.2,8.69,0,1
2013-01-12-6,2.21,2.09,9.56,0,1
2013-01-12-9,7.63,5.04,33.65,0,1
2013-01-12-12,13.66,12.74,35.81,0,1
2013-01-12-15,7.52,4.17,61.95,0,1
2013-01-12-18,2.37,0.0,60.16,0,1
2013-01-12-21,0.0,0.0,0.0,0,1
2013-01-13-0,6.36,0.0,47.55,0,1
2013-01-13-3,3.81,3.59,21.47,0,1
2013-01-13-6,11.01,10.68,90.37,0,1
2013-01-13-9,8.22,8.29,24.78,0,1
2013-01-13-12,12.64,12.19,31.52,0,1
2013-01-13-15,15.28,13.98,54.85,0,1
2013-01-13-18,1.57,0.0,53.04,0,1
2013-01-13-21,0.0,0.0,0.0,0,1
2013-01-14-0,6.23,0.0,38.28,0,1
2013-01-14-3,3.92,2.39,29.07,0,1
2013-01-14-6,13.91,11.87,68.32,0,1
2013-01-14-9,40.25,36.19,147.76,0,0
2013-01-14-12,32.63,32.98,97.35,0,0
2013-01-14-15,5.1,2.97,75.5,0,1
2013-01-14-18,5.7,0.0,143.45,0,1
2013-01-14-21,0.0,0.0,0.0,0,1
2013-01-15-0,3.87,0.0,32.02,0,1
2013-01-15-3,3.06,2.69,11.03,0,1
2013-01-15-6,8.51,4.16,46.44,0,1
2013-01-15-9,18.36,16.81,58.01,0,0
2013-01-15-12,13.3,6.51,58.45,0,1
2013-01-15-15,2.17,0.3,17.73,0,1
2013-01-15-18,0.0,0.0,0.0,0,1
2013-01-15-21,0.0,0.0,0.0,0,1
2013-01-16-0,0.0,0.0,0.0,0,1
2013-01-16-3,4.03,5.34,17.0,0,1
2013-01-16-6,5.12,5.34,22.66,0,1
2013-01-16-9,17.23,13.4,76.54,0,1
2013-01-16-12,11.53,10.34,58.07,0,1
2013-01-16-15,12.55,9.17,52.99,0,1
2013-01-16-18,0.0,0.0,0.0,0,1
2013-01-16-21,0.0,0.0,0.0,0,1
2013-01-17-0,4.24,0.0,36.03,0,1
2013-01-17-3,6.7,6.56,23.7,0,1
2013-01-17-6,5.64,5.92,12.76,0,1
2013-01-17-9,6.36,5.95,22.56,0,1
2013-01-17-12,16.76,15.44,74.49,0,0
2013-01-17-15,106.68,108.77,248.84,0,0
2013-01-17-18,0.0,0.0,0.0,0,1
2013-01-17-21,0.0,0.0,0.0,0,1
2013-01-18-0,4.16,0.0,83.38,0,1
2013-01-18-3,19.63,17.54,247.7,0,0
2013-01-18-6,13.31,11.56,54.88,0,1
2013-01-18-9,13.5,10.07,54.79,0,1
2013-01-18-12,10.08,7.71,108.78,0,1
2013-01-18-15,11.56,8.89,55.89,0,1
2013-01-18-18,0.0,0.0,0.0,0,1
2013-01-18-21,0.0,0.0,0.0,0,1
2013-01-19-0,5.02,0.0,217.34,0,1
2013-01-19-3,13.11,11.88,248.84,0,1
2013-01-19-6,10.41,8.58,68.55,0,1
2013-01-19-9,7.74,6.82,61.74,0,1
2013-01-19-12,6.59,5.04,62.9,0,1
2013-01-19-15,11.82,7.11,70.09,0,1
2013-01-19-18,0.0,0.0,0.0,0,1
2013-01-19-21,0.0,0.0,0.0,0,1
2013-01-20-0,3.67,0.0,128.53,0,1
2013-01-20-3,27.93,31.69,183.81,1,0
2013-01-20-6,76.86,61.33,249.07,0,0
2013-01-20-9,69.56,69.28,231.14,0,0
2013-01-20-12,30.69,30.34,79.88,0,0
2013-01-20-15,5.95,2.09,44.75,0,1
2013-01-20-18,0.0,0.0,0.0,0,1
2013-01-20-21,0.0,0.0,0.0,0,1
2013-01-21-0,2.39,0.0,31.14,0,1
2013-01-21-3,15.75,16.91,26.68,0,0
2013-01-21-6,18.0,20.23,223.89,0,0
2013-01-21-9,28.41,24.06,192.37,0,0
2013-01-21-12,22.45,17.18,129.12,0,0
2013-01-21-15,15.17,7.41,140.24,0,1
2013-01-21-18,0.0,0.0,0.0,0,1
2013-01-21-21,0.0,0.0,0.0,0,1
2013-01-22-0,6.35,0.0,242.35,0,1
2013-01-22-3,12.53,11.5,33.7,0,1
2013-01-22-6,16.48,14.85,248.73,0,1
2013-01-22-9,13.49,10.33,177.94,0,1
2013-01-22-12,14.9,8.62,192.23,0,1
2013-01-22-15,13.53,7.12,118.19,0,1
2013-01-22-18,0.0,0.0,0.0,0,1
2013-01-22-21,0.0,0.0,0.0,0,1
2013-01-23-0,3.89,0.0,215.86,0,1
2013-01-23-3,13.24,12.33,57.97,0,1
2013-01-23-6,19.11,16.02,248.62,0,0
2013-01-23-9,5.07,0.0,184.97,0,1
2013-01-23-12,0.0,0.0,0.0,0,1
2013-01-23-15,0.0,0.0,0.0,0,1
2013-01-23-18,0.0,0.0,0.0,0,1
2013-01-23-21,0.0,0.0,0.0,0,1
2013-01-24-0,0.65,0.0,28.98,0,1
2013-01-24-3,7.52,2.65,26.69,1,1
2013-01-24-6,4.84,3.25,21.81,1,1
2013-01-24-9,3.84,2.39,24.12,1,1
2013-01-24-12,13.34,10.79,64.03,0,1
2013-01-24-15,14.23,6.95,123.59,0,1
2013-01-24-18,0.0,0.0,0.0,0,1
2013-01-24-21,0.0,0.0,0.0,0,1
2013-01-25-0,3.6,0.0,73.88,0,1
2013-01-25-3,16.95,16.79,35.41,0,0
2013-01-25-6,24.81,24.12,202.22,1,0
2013-01-25-9,83.78,88.21,249.07,1,0
2013-01-25-12,25.1,16.53,164.61,0,0
2013-01-25-15,18.05,8.94,200.52,0,1
2013-01-25-18,0.0,0.0,0.0,0,1
2013-01-25-21,0.0,0.0,0.0,0,1
2013-01-26-0,2.57,0.0,38.04,0,1
2013-01-26-3,23.5,24.11,70.89,0,0
2013-01-26-6,82.28,32.72,249.07,1,0
2013-01-26-9,165.84,184.63,249.07,1,0
2013-01-26-12,136.09,136.46,249.07,0,0
2013-01-26-15,105.53,101.61,249.07,0,0
2013-01-26-18,0.0,0.0,0.0,0,1
