segment,mean,median,max,sunlight_contamination
2024-01-01-0,16.34,10.19,161.14,0
2024-01-01-3,10.17,9.95,35.17,0
2024-01-01-6,15.80,12.31,68.02,0
2024-01-01-9,31.77,28.09,199.98,0
2024-01-01-12,24.88,18.76,139.19,0
2024-01-01-15,34.57,29.62,223.30,0
2024-01-01-18,14.65,0.00,165.10,0
2024-01-01-21,0.00,0.00,0.00,0
2024-01-02-0,17.73,10.00,224.48,0
2024-01-02-3,13.34,11.62,39.33,0
2024-01-02-6,14.88,12.46,195.50,0
2024-01-02-9,20.32,17.71,189.56,0
2024-01-02-12,24.56,22.38,134.22,0
2024-01-02-15,25.30,23.57,219.78,0
2024-01-02-18,12.22,0.00,164.83,0
2024-01-02-21,0.00,0.00,0.00,0
2024-01-03-0,16.54,9.69,235.00,0
2024-01-03-3,9.59,9.19,63.64,0
2024-01-03-6,11.54,10.13,60.67,0
2024-01-03-9,35.12,32.05,211.05,0
2024-01-03-12,20.76,20.41,72.73,0
2024-01-03-15,18.84,14.98,220.95,0
2024-01-03-18,12.20,0.00,167.49,0
2024-01-03-21,0.00,0.00,0.00,0
2024-01-04-0,16.80,10.23,223.89,0
2024-01-04-3,10.44,10.25,23.49,0
2024-01-04-6,10.61,9.73,67.92,0
2024-01-04-9,12.36,11.93,96.85,0
2024-01-04-12,9.38,9.42,33.01,0
2024-01-04-15,11.71,11.09,52.80,0
2024-01-04-18,10.28,0.00,161.18,0
2024-01-04-21,0.00,0.00,0.00,0
2024-01-06-0,16.03,8.89,224.48,0
2024-01-06-3,8.90,8.81,16.97,0
2024-01-06-6,8.53,8.52,61.44,0
2024-01-06-9,10.32,9.42,117.07,0
2024-01-06-12,9.29,8.97,41.06,0
2024-01-06-15,5.80,7.99,14.59,0
2024-01-06-18,0.00,0.00,0.00,0
2024-01-06-21,0.00,0.00,0.00,0
2024-01-08-0,13.67,7.25,153.67,0
2024-01-08-3,9.37,9.18,34.74,0
2024-01-08-6,8.05,8.22,31.00,0
2024-01-08-9,7.99,8.39,32.44,0
2024-01-08-12,14.18,13.85,28.03,0
2024-01-08-15,10.24,9.11,73.08,0
2024-01-08-18,10.01,0.00,163.88,0
2024-01-08-21,0.00,0.00,0.00,0
2024-01-11-0,19.47,0.00,235.00,0
2024-01-11-3,16.10,14.33,234.97,0
2024-01-11-6,30.36,19.64,203.57,0
2024-01-11-9,46.02,39.17,195.20,0
2024-01-11-12,45.28,35.65,202.67,0
2024-01-11-15,27.46,19.09,164.94,0
2024-01-11-18,6.17,0.00,160.21,0
2024-01-11-21,0.00,0.00,0.00,0
2024-01-12-0,17.71,0.00,223.89,0
2024-01-12-3,13.51,12.94,32.30,0
2024-01-12-6,15.55,13.12,191.78,0
2024-01-12-9,30.86,22.07,204.48,0
2024-01-12-12,16.38,13.36,63.70,0
2024-01-12-15,31.69,21.20,165.65,0
2024-01-12-18,5.89,0.00,161.20,0
2024-01-12-21,0.00,0.00,0.00,0
2024-01-13-0,18.62,0.00,224.48,0
2024-01-13-3,13.49,12.57,37.34,0
2024-01-13-6,13.82,11.96,190.56,0
2024-01-13-9,17.82,13.17,187.33,0
2024-01-13-12,14.27,12.37,52.07,0
2024-01-13-15,23.43,13.80,164.64,0
2024-01-13-18,4.75,0.00,152.45,0
2024-01-13-21,0.00,0.00,0.00,0
2024-01-14-0,17.45,0.00,230.30,0
2024-01-14-3,14.96,13.04,177.49,0
2024-01-14-6,16.96,15.70,188.17,0
2024-01-14-9,30.24,26.43,205.88,0
2024-01-14-12,48.07,49.23,89.54,0
2024-01-14-15,57.09,54.45,150.89,0
2024-01-14-18,6.38,0.00,112.25,0
2024-01-14-21,0.00,0.00,0.00,0
2024-01-15-0,13.19,0.00,150.28,0
2024-01-15-3,9.40,9.94,22.96,0
2024-01-15-6,16.64,13.19,57.06,0
2024-01-15-9,17.53,15.82,47.13,0
2024-01-15-12,18.45,17.27,53.96,0
2024-01-15-15,16.33,10.96,160.68,0
2024-01-15-18,5.25,0.00,133.57,0
2024-01-15-21,0.00,0.00,0.00,0
2024-01-16-0,15.80,0.00,128.12,0
2024-01-16-3,12.03,12.23,21.46,0
2024-01-16-6,10.60,11.10,16.84,0
2024-01-16-9,12.70,12.53,28.35,0
2024-01-16-12,12.35,12.03,30.71,0
2024-01-16-15,17.32,12.95,161.82,0
2024-01-16-18,4.80,0.00,133.38,0
2024-01-16-21,0.00,0.00,0.00,0
2024-01-17-0,14.50,0.00,160.41,0
2024-01-17-3,12.86,13.18,50.03,0
2024-01-17-6,25.04,17.81,102.58,0
2024-01-17-9,16.42,14.56,195.48,0
2024-01-17-12,25.16,21.29,79.65,0
2024-01-17-15,23.98,14.32,161.44,0
2024-01-17-18,2.50,0.00,148.73,0
2024-01-17-21,0.00,0.00,0.00,0
2024-01-18-0,16.69,0.00,223.89,0
2024-01-18-3,20.21,19.17,224.48,0
2024-01-18-6,19.82,16.49,223.31,0
2024-01-18-9,63.42,55.97,239.45,0
2024-01-18-12,53.67,38.94,238.85,0
2024-01-18-15,27.61,16.75,163.40,0
2024-01-18-18,1.85,0.00,154.10,0
2024-01-18-21,0.00,0.00,0.00,0
2024-01-19-0,16.16,0.00,159.69,0
2024-01-19-3,35.64,34.93,220.95,0
2024-01-19-6,37.43,37.82,224.48,0
2024-01-19-9,40.20,37.13,156.44,0
2024-01-19-12,24.91,21.78,75.96,0
2024-01-19-15,34.05,19.33,203.32,0
2024-01-19-18,1.70,0.00,165.39,0
2024-01-19-21,0.00,0.00,0.00,0
2024-01-20-0,17.59,0.00,231.77,0
2024-01-20-3,27.81,27.08,105.19,0
2024-01-20-6,46.14,40.34,248.96,0
2024-01-20-9,51.40,49.48,217.73,0
2024-01-20-12,48.43,40.59,202.38,0
2024-01-20-15,43.50,33.21,192.29,0
2024-01-20-18,0.82,0.00,100.16,0
2024-01-20-21,0.00,0.00,0.00,0
2024-01-21-0,15.74,0.00,232.35,0
2024-01-21-3,23.62,21.41,116.33,0
2024-01-21-6,47.75,40.12,249.07,0
2024-01-21-9,74.38,69.36,237.06,0
2024-01-21-12,45.81,41.05,144.88,0
2024-01-21-15,30.30,20.59,169.05,0
2024-01-21-18,0.49,0.00,75.12,0
2024-01-21-21,0.00,0.00,0.00,0
2024-01-22-0,20.72,0.00,239.45,0
2024-01-22-3,25.00,22.84,138.02,0
2024-01-22-6,38.46,32.31,157.78,0
2024-01-22-9,39.63,36.66,179.55,0
2024-01-22-12,54.11,49.56,178.57,0
2024-01-22-15,34.22,25.07,168.20,0
2024-01-22-18,0.00,0.00,0.00,0
2024-01-22-21,0.00,0.00,0.00,0
2024-01-23-0,21.01,0.00,239.15,0
2024-01-23-3,32.58,29.01,138.95,0
2024-01-23-6,43.92,40.64,157.91,0
2024-01-23-9,64.66,59.30,202.67,0
2024-01-23-12,44.66,44.48,202.67,0
2024-01-23-15,38.02,29.06,167.98,0
2024-01-23-18,0.00,0.00,0.00,0
2024-01-23-21,0.00,0.00,0.00,0
2024-01-24-0,23.30,0.00,239.45,0
2024-01-24-3,42.42,36.69,217.33,0
2024-01-24-6,54.57,51.56,188.02,0
2024-01-24-9,105.93,104.65,216.84,0
2024-01-24-12,53.75,44.80,163.42,0
2024-01-24-15,37.84,30.17,165.53,0
2024-01-24-18,0.00,0.00,0.00,0
2024-01-24-21,0.00,0.00,0.00,0
2024-01-25-0,14.30,0.00,159.80,0
2024-01-25-3,57.24,55.66,160.72,0
2024-01-25-6,69.88,65.45,162.38,0
2024-01-25-9,102.87,100.59,249.07,0
2024-01-25-12,119.64,121.28,224.48,0
2024-01-25-15,65.84,62.67,191.64,0
2024-01-25-18,0.00,0.00,0.00,0
2024-01-25-21,0.00,0.00,0.00,0
2024-01-26-0,13.75,0.00,223.89,0
2024-01-26-3,31.45,27.39,158.73,0
2024-01-26-6,35.90,32.78,159.57,0
2024-01-26-9,56.29,48.17,217.62,0
2024-01-26-12,74.20,65.97,228.76,0
2024-01-26-15,52.04,43.03,237.96,0
2024-01-26-18,0.01,0.00,219.78,0
2024-01-26-21,0.00,0.00,0.00,0
2024-01-27-0,12.80,0.00,233.83,0
2024-01-27-3,24.68,20.69,140.35,0
2024-01-27-6,37.42,27.73,239.45,0
2024-01-27-9,48.33,41.63,220.64,0
2024-01-27-12,43.48,34.74,152.20,0
2024-01-27-15,40.85,28.22,237.36,0
2024-01-27-18,0.00,0.00,0.00,0
2024-01-27-21,0.00,0.00,0.00,0
2024-01-28-0,11.89,0.00,233.83,0
2024-01-28-3,16.95,14.51,138.74,0
2024-01-28-6,22.42,18.99,200.45,0
2024-01-28-9,42.07,33.41,186.88,0
2024-01-28-12,36.61,30.00,144.32,0
2024-01-28-15,41.89,33.07,238.26,0
2024-01-28-18,0.00,0.00,0.00,0
2024-01-28-21,0.00,0.00,0.00,0
2024-01-29-0,10.08,0.00,160.54,0
2024-01-29-3,12.22,12.30,38.77,0
2024-01-29-6,21.85,18.71,53.58,0
2024-01-29-9,31.21,32.27,80.91,0
2024-01-29-12,36.90,31.93,93.97,0
2024-01-29-15,31.99,28.70,160.33,0
2024-01-29-18,0.00,0.00,0.00,0
2024-01-29-21,0.00,0.00,0.00,0
2024-01-30-0,9.63,0.00,159.77,0
2024-01-30-3,13.88,13.94,103.94,0
2024-01-30-6,22.29,22.68,38.50,0
2024-01-30-9,40.33,38.89,123.93,0
2024-01-30-12,45.55,45.36,98.98,0
2024-01-30-15,38.54,32.82,216.84,0
2024-01-30-18,0.00,0.00,0.00,0
2024-01-30-21,0.00,0.00,0.00,0
2024-01-31-0,8.53,0.00,223.89,0
2024-01-31-3,19.82,16.53,224.48,0
2024-01-31-6,16.95,14.54,101.44,0
2024-01-31-9,39.23,36.69,181.48,0
2024-01-31-12,26.13,21.92,131.52,0
2024-01-31-15,40.78,25.56,248.39,0
2024-01-31-18,0.00,0.00,0.00,0
2024-01-31-21,0.00,0.00,0.00,0
2024-02-01-0,8.57,0.00,233.24,0
2024-02-01-3,17.84,13.68,223.30,0
2024-02-01-6,15.80,12.64,182.11,0
2024-02-01-9,62.78,54.88,238.77,0
2024-02-01-12,39.13,34.59,211.95,0
2024-02-01-15,30.12,19.12,208.63,0
2024-02-01-18,0.00,0.00,0.00,0
2024-02-01-21,0.00,0.00,0.00,0
2024-02-02-0,7.40,0.00,158.02,0
2024-02-02-3,17.42,13.19,161.59,0
2024-02-02-6,14.81,12.25,132.22,0
2024-02-02-9,25.69,17.20,210.04,0
2024-02-02-12,16.26,12.45,67.86,0
2024-02-02-15,23.90,13.88,168.89,0
2024-02-02-18,0.00,0.00,0.00,0
2024-02-02-21,0.00,0.00,0.00,0
2024-02-03-0,6.70,0.00,220.95,0
2024-02-03-3,17.95,12.58,224.48,0
2024-02-03-6,13.52,11.07,122.41,0
2024-02-03-9,15.85,11.62,196.69,0
2024-02-03-12,16.57,11.83,72.25,0
2024-02-03-15,24.20,13.86,168.20,0
2024-02-03-18,0.00,0.00,0.00,0
2024-02-03-21,0.00,0.00,0.00,0
2024-02-04-0,5.33,0.00,224.48,0
2024-02-04-3,20.43,14.29,224.48,0
2024-02-04-6,14.15,11.94,68.01,0
2024-02-04-9,16.51,12.31,175.52,0
2024-02-04-12,13.06,10.59,44.89,0
2024-02-04-15,22.70,12.17,170.45,0
2024-02-04-18,0.00,0.00,0.00,0
2024-02-04-21,0.00,0.00,0.00,0
2024-02-05-0,4.85,0.00,134.74,0
2024-02-05-3,17.65,12.24,160.43,0
2024-02-05-6,16.65,14.08,131.35,0
2024-02-05-9,21.09,18.22,121.99,0
2024-02-05-12,35.67,29.24,216.13,0
2024-02-05-15,23.56,14.97,167.75,0
2024-02-05-18,0.00,0.00,0.00,0
2024-02-05-21,0.00,0.00,0.00,0
2024-02-06-0,3.14,0.00,202.93,0
2024-02-06-3,24.10,16.61,216.26,0
2024-02-06-6,15.37,14.40,86.63,0
2024-02-06-9,36.31,33.73,102.22,0
2024-02-06-12,17.96,15.33,53.31,0
2024-02-06-15,24.00,16.54,167.54,0
2024-02-06-18,0.00,0.00,0.00,0
2024-02-06-21,0.00,0.00,0.00,0
2024-02-08-0,1.81,0.00,219.78,0
2024-02-08-3,22.55,14.35,224.48,0
2024-02-08-6,13.15,11.35,181.62,0
2024-02-08-9,26.52,18.99,197.89,0
2024-02-08-12,48.18,41.14,205.07,0
2024-02-08-15,31.45,25.02,164.53,0
2024-02-08-18,0.00,0.00,0.00,0
2024-02-08-21,0.00,0.00,0.00,0
2024-02-09-0,0.24,0.00,75.24,0
2024-02-09-3,23.11,14.85,230.00,0
2024-02-09-6,15.03,13.52,177.46,0
2024-02-09-9,19.71,16.72,115.84,0
2024-02-09-12,28.42,24.39,93.91,0
2024-02-09-15,20.48,13.94,163.49,0
2024-02-09-18,0.00,0.00,0.00,0
2024-02-09-21,0.00,0.00,0.00,0
2024-02-10-0,0.12,0.00,21.29,0
2024-02-10-3,21.36,14.20,197.26,0
2024-02-10-6,13.50,12.66,39.66,0
2024-02-10-9,18.81,15.08,181.87,0
2024-02-10-12,31.76,22.83,138.86,0
2024-02-10-15,20.15,14.42,163.56,0
2024-02-10-18,0.00,0.00,0.00,0
2024-02-10-21,0.00,0.00,0.00,0
