segment,mean,median,max,sunlight_contamination
2021-01-01-0,9.18,0.60,127.30,0
2021-01-01-3,9.60,8.47,30.70,0
2021-01-01-6,19.85,17.74,247.82,0
2021-01-01-9,20.08,21.26,30.00,0
2021-01-01-12,20.20,21.57,35.48,0
2021-01-01-15,19.99,20.94,33.81,0
2021-01-01-18,0.54,0.00,33.91,0
2021-01-01-21,0.00,0.00,0.00,0
2021-01-02-0,8.51,0.00,123.78,0
2021-01-02-3,5.49,4.99,25.78,0
2021-01-02-6,12.83,10.66,248.27,0
2021-01-02-9,14.05,13.26,248.84,0
2021-01-02-12,10.01,10.07,27.79,0
2021-01-02-15,12.55,9.40,137.79,0
2021-01-02-18,3.14,0.00,143.61,0
2021-01-02-21,0.00,0.00,0.00,0
2021-01-03-0,8.33,0.00,127.30,0
2021-01-03-3,3.20,3.32,16.90,0
2021-01-03-6,9.11,8.01,27.12,0
2021-01-03-9,15.45,16.69,224.23,0
2021-01-03-12,17.37,20.13,28.22,0
2021-01-03-15,19.79,20.07,61.91,0
2021-01-03-18,2.10,0.00,55.52,0
2021-01-03-21,0.00,0.00,0.00,0
2021-01-04-0,8.98,0.00,104.68,0
2021-01-04-3,2.75,3.02,16.08,0
2021-01-04-6,5.86,4.58,27.16,0
2021-01-04-9,16.11,15.97,34.63,0
2021-01-04-12,10.29,8.70,28.75,0
2021-01-04-15,9.68,5.99,224.48,0
2021-01-04-18,4.68,0.00,223.89,0
2021-01-04-21,0.00,0.00,0.00,0
2021-01-05-0,8.76,0.00,127.30,0
2021-01-05-3,2.71,2.79,19.66,0
2021-01-05-6,3.16,3.39,10.05,0
2021-01-05-9,6.55,5.33,248.16,0
2021-01-05-12,47.15,25.13,227.27,0
2021-01-05-15,28.02,25.43,222.71,0
2021-01-05-18,3.42,0.00,159.30,0
2021-01-05-21,0.00,0.00,0.00,0
2021-01-06-0,8.91,0.00,126.41,0
2021-01-06-3,9.74,5.45,60.23,0
2021-01-06-6,32.51,34.46,117.19,0
2021-01-06-9,89.36,83.32,243.26,0
2021-01-06-12,53.04,40.31,186.46,0
2021-01-06-15,31.15,22.47,222.13,0
2021-01-06-18,4.90,0.00,223.48,0
2021-01-06-21,0.00,0.00,0.00,0
2021-01-07-0,9.21,0.00,128.17,0
2021-01-07-3,4.15,4.55,21.54,0
2021-01-07-6,4.97,4.85,12.10,0
2021-01-07-9,10.83,8.52,36.46,0
2021-01-07-12,6.58,6.15,22.70,0
2021-01-07-15,9.81,5.99,220.95,0
2021-01-07-18,4.15,0.00,155.36,0
2021-01-07-21,0.00,0.00,0.00,0
2021-01-08-0,8.28,0.00,75.61,0
2021-01-08-3,3.81,4.27,12.95,0
2021-01-08-6,3.80,4.28,9.63,0
2021-01-08-9,3.55,3.97,8.78,0
2021-01-08-12,3.00,3.38,6.37,0
2021-01-08-15,8.01,4.42,160.06,0
2021-01-08-18,5.52,0.00,161.06,0
2021-01-08-21,0.00,0.00,0.00,0
2021-01-09-0,8.65,0.00,129.35,0
2021-01-09-3,4.14,4.49,22.46,0
2021-01-09-6,3.89,4.26,23.01,0
2021-01-09-9,4.81,5.07,10.89,0
2021-01-09-12,3.15,3.37,23.02,0
2021-01-09-15,7.38,5.45,69.04,0
2021-01-09-18,5.20,0.00,79.59,0
2021-01-09-21,0.00,0.00,0.00,0
2021-01-10-0,9.55,0.00,65.00,0
2021-01-10-3,5.50,5.94,18.64,0
2021-01-10-6,5.24,5.75,36.19,0
2021-01-10-9,7.24,6.75,22.27,0
2021-01-10-12,11.18,10.99,23.86,0
2021-01-10-15,10.94,7.16,222.13,0
2021-01-10-18,3.43,0.00,223.89,0
2021-01-10-21,0.00,0.00,0.00,0
2021-01-11-0,10.19,0.00,130.23,0
2021-01-11-3,6.13,6.46,22.02,0
2021-01-11-6,6.33,6.92,12.43,0
2021-01-11-9,10.62,10.40,28.28,0
2021-01-11-12,34.21,32.19,92.90,0
2021-01-11-15,58.00,48.95,178.23,0
2021-01-11-18,2.33,0.00,61.10,0
2021-01-11-21,0.00,0.00,0.00,0
2021-01-12-0,12.36,0.00,127.17,0
2021-01-12-3,11.43,7.46,60.86,0
2021-01-12-6,12.50,10.01,57.96,0
2021-01-12-9,42.49,36.89,195.02,0
2021-01-12-12,19.45,18.46,57.42,0
2021-01-12-15,11.80,7.00,222.13,0
2021-01-12-18,2.81,0.00,222.19,0
2021-01-12-21,0.00,0.00,0.00,0
2021-01-13-0,8.36,0.00,128.76,0
2021-01-13-3,4.53,4.85,22.02,0
