segment,mean,median,max
2021-01-01-6,19.85,17.74,247.82
2021-01-01-9,20.08,21.26,30.0
2021-01-01-12,20.2,21.57,35.48
2021-01-01-15,19.99,20.94,33.81
2021-01-03-9,15.45,16.69,224.23
2021-01-03-12,17.37,20.13,28.22
2021-01-03-15,19.79,20.07,61.91
2021-01-04-9,16.11,15.97,34.63
2021-01-05-12,47.15,25.13,227.27
2021-01-05-15,28.02,25.43,222.71
2021-01-06-6,32.51,34.46,117.19
2021-01-06-9,89.36,83.32,243.26
2021-01-06-12,53.04,40.31,186.46
2021-01-06-15,31.15,22.47,222.13
2021-01-11-12,34.21,32.19,92.9
2021-01-11-15,58.0,48.95,178.23
2021-01-12-9,42.49,36.89,195.02
2021-01-12-12,19.45,18.46,57.42
2021-01-13-9,41.29,43.99,133.09
2021-01-13-12,46.53,38.14,194.69
2021-01-20-9,64.29,56.45,226.85
2021-01-20-12,37.74,35.49,122.17
2021-01-20-15,19.93,16.91,148.14
2021-01-23-9,21.87,21.72,49.59
2021-01-24-12,20.29,17.15,248.39
2021-01-25-6,127.01,132.14,249.07
2021-01-25-9,87.06,59.81,248.84
2021-01-25-12,75.09,68.7,249.07
2021-01-25-15,48.87,43.94,182.26
2021-01-26-3,30.37,28.37,249.07
2021-01-26-6,22.13,23.06,39.85
2021-01-26-9,35.1,31.87,200.64
2021-01-26-12,37.8,36.52,239.35
2021-01-26-15,26.65,25.87,248.27
2021-01-27-3,24.65,22.78,248.96
2021-01-27-6,23.46,23.65,38.92
2021-01-27-9,75.8,74.94,213.78
2021-01-27-12,64.25,66.93,213.2
2021-01-27-15,40.46,39.77,248.73
2021-01-28-3,24.27,23.0,249.07
2021-01-28-9,26.12,27.6,36.16
2021-01-28-12,24.97,25.33,38.72
2021-01-28-15,19.55,22.58,228.78
2021-01-29-15,15.45,18.54,34.21
2021-01-30-3,16.19,15.19,237.02
2021-01-30-6,27.19,25.54,248.84
2021-01-30-9,38.53,31.05,242.8
2021-01-30-12,52.85,45.72,220.82
