segment,mean,median,max,sunlight_contamination,dark_segment
2024-01-08-7,7.98,8.19,30.13,0,1
2024-01-08-8,7.88,8.11,30.28,0,1
2024-01-08-9,7.69,8.05,32.44,0,1
2024-01-08-10,7.88,8.39,11.39,0,1
2024-01-08-11,8.39,8.89,12.5,0,1
2024-01-08-12,11.26,11.45,21.52,0,1
2024-01-08-13,16.84,17.22,27.92,0,0
2024-01-08-14,14.43,13.64,28.03,0,1
2024-01-08-15,8.6,9.11,12.56,0,1
2024-01-08-16,7.96,8.52,11.32,0,1
2024-01-08-17,14.15,10.96,73.08,0,1
2024-01-08-18,30.02,20.74,163.88,0,0
2024-01-08-19,0.0,0.0,0.0,0,1
2024-01-08-20,0.0,0.0,0.0,0,1
2024-01-08-21,0.0,0.0,0.0,0,1
2024-01-08-22,0.0,0.0,0.0,0,1
2024-01-08-23,0.0,0.0,0.0,0,1
2024-01-11-0,0.0,0.0,0.0,0,1
2024-01-11-1,20.23,0.0,235.0,0,1
2024-01-11-2,39.12,30.27,224.48,0,0
2024-01-11-3,16.86,15.67,234.97,0,0
2024-01-11-4,15.24,13.6,60.04,0,1
2024-01-11-5,16.2,13.64,45.4,0,1
2024-01-11-6,18.82,14.34,142.26,0,1
2024-01-11-7,29.37,20.44,200.25,0,0
2024-01-11-8,43.2,26.44,203.57,0,0
2024-01-11-9,48.16,45.16,195.2,0,0
2024-01-11-10,37.4,32.18,149.48,0,0
2024-01-11-11,52.56,46.09,194.3,0,0
2024-01-11-12,62.84,55.17,202.67,0,0
2024-01-11-13,43.29,38.66,105.69,0,0
2024-01-11-14,29.69,24.6,94.45,0,0
2024-01-11-15,21.88,18.82,67.35,0,0
2024-01-11-16,17.21,15.13,51.25,0,0
2024-01-11-17,43.28,33.91,164.94,0,0
2024-01-11-18,18.51,0.0,160.21,0,1
2024-01-11-19,0.0,0.0,0.0,0,1
2024-01-11-20,0.0,0.0,0.0,0,1
2024-01-11-21,0.0,0.0,0.0,0,1
2024-01-11-22,0.0,0.0,0.0,0,1
2024-01-11-23,0.0,0.0,0.0,0,1
2024-01-12-0,0.0,0.0,0.0,0,1
2024-01-12-1,15.9,0.0,222.13,0,1
2024-01-12-2,38.19,29.06,223.89,0,0
2024-01-12-3,14.95,14.21,32.3,0,1
2024-01-12-4,13.09,12.6,25.41,0,1
2024-01-12-5,12.52,12.17,22.83,0,1
2024-01-12-6,13.07,12.42,115.45,0,1
2024-01-12-7,14.81,13.09,55.95,0,1
2024-01-12-8,18.85,14.26,191.78,0,1
2024-01-12-9,21.56,16.64,189.0,0,0
2024-01-12-10,35.98,24.53,204.48,0,0
2024-01-12-11,34.99,26.29,175.02,0,0
2024-01-12-12,18.8,15.48,63.7,0,0
2024-01-12-13,15.21,12.59,46.24,0,1
2024-01-12-14,15.12,12.52,46.16,0,1
2024-01-12-15,28.77,23.71,103.51,0,0
2024-01-12-16,19.81,16.94,77.65,0,0
2024-01-12-17,46.56,38.04,165.65,0,0
2024-01-12-18,17.71,0.0,161.2,0,1
2024-01-12-19,0.0,0.0,0.0,0,1
2024-01-12-20,0.0,0.0,0.0,0,1
2024-01-12-21,0.0,0.0,0.0,0,1
2024-01-12-22,0.0,0.0,0.0,0,1
2024-01-12-23,0.0,0.0,0.0,0,1
2024-01-13-0,0.0,0.0,0.0,0,1
2024-01-13-1,17.08,0.0,223.89,0,1
2024-01-13-2,39.57,30.5,224.48,0,0
2024-01-13-3,14.81,14.05,34.66,0,1
2024-01-13-4,12.99,12.13,37.34,0,1
