segment,mean,median,max,sunlight_contamination
2023-02-08-0,0.00,0.00,0.00,0
2023-02-08-1,0.00,0.00,0.00,0
2023-02-08-2,4.53,0.00,198.06,0
2023-02-08-3,46.39,37.39,223.18,0
2023-02-08-4,15.20,13.78,35.75,0
2023-02-08-5,25.31,26.80,42.84,0
2023-02-08-6,19.05,20.46,32.46,0
2023-02-08-7,24.56,25.34,44.35,0
2023-02-08-8,55.28,56.44,130.45,0
2023-02-08-9,86.65,90.33,154.96,0
2023-02-08-10,64.25,67.88,94.52,0
2023-02-08-11,72.03,74.67,119.57,0
2023-02-08-12,107.31,112.05,205.84,0
2023-02-08-13,94.65,100.46,223.89,0
2023-02-08-14,72.29,75.54,146.92,0
2023-02-08-15,39.13,40.23,67.55,0
2023-02-08-16,43.00,35.04,96.31,0
2023-02-08-17,17.26,0.00,94.23,0
2023-02-08-18,0.00,0.00,0.00,0
2023-02-08-19,0.00,0.00,0.00,0
2023-02-08-20,0.00,0.00,0.00,0
2023-02-08-21,0.00,0.00,0.00,0
2023-02-08-22,0.00,0.00,0.00,0
2023-02-08-23,0.00,0.00,0.00,0
2023-02-09-0,0.00,0.00,0.00,0
2023-02-09-1,0.00,0.00,0.00,0
2023-02-09-2,1.89,0.00,42.11,0
2023-02-09-3,39.56,31.48,85.42,0
2023-02-09-4,21.26,19.40,132.74,0
2023-02-09-5,12.20,11.21,29.97,0
2023-02-09-6,13.22,12.28,32.04,0
2023-02-09-7,17.50,17.50,32.13,0
2023-02-09-8,61.98,51.09,212.54,0
2023-02-09-9,41.18,40.15,154.95,0
2023-02-09-10,42.30,39.86,198.19,0
2023-02-09-11,77.41,81.53,213.62,0
2023-02-09-12,84.86,85.40,195.89,0
2023-02-09-13,53.14,51.15,178.25,0
2023-02-09-14,36.27,34.86,221.54,0
2023-02-09-15,54.24,52.46,132.42,0
2023-02-09-16,60.01,58.03,180.64,0
2023-02-09-17,20.20,0.00,174.72,0
2023-02-09-18,0.00,0.00,0.00,0
2023-02-09-19,0.00,0.00,0.00,0
2023-02-09-20,0.00,0.00,0.00,0
2023-02-09-21,0.00,0.00,0.00,0
2023-02-09-22,0.00,0.00,0.00,0
2023-02-09-23,0.00,0.00,0.00,0
2023-02-10-0,0.00,0.00,0.00,0
2023-02-10-1,0.00,0.00,0.00,0
2023-02-10-2,0.00,0.00,0.00,0
2023-02-10-3,52.41,49.78,162.82,0
2023-02-10-4,20.09,23.16,72.67,0
2023-02-10-5,20.02,20.23,40.42,0
2023-02-10-6,23.10,23.23,53.24,0
2023-02-10-7,25.66,24.93,86.88,0
2023-02-10-8,37.92,32.23,144.44,0
2023-02-10-9,50.24,40.11,200.28,0
2023-02-10-10,58.60,44.82,209.55,0
2023-02-10-11,84.34,85.97,218.84,0
2023-02-10-12,80.61,69.18,209.55,0
2023-02-10-13,127.11,130.30,239.15,0
2023-02-10-14,66.71,57.39,223.89,0
2023-02-10-15,40.26,40.10,218.02,0
2023-02-10-16,52.67,51.75,152.40,0
2023-02-10-17,12.18,0.00,144.59,0
2023-02-10-18,0.00,0.00,0.00,0
2023-02-10-19,0.00,0.00,0.00,0
2023-02-10-20,0.00,0.00,0.00,0
2023-02-10-21,0.00,0.00,0.00,0
2023-02-10-22,0.00,0.00,0.00,0
2023-02-10-23,0.00,0.00,0.00,0
2023-02-11-0,0.00,0.00,0.00,0
2023-02-11-1,0.00,0.00,0.00,0
2023-02-11-2,0.00,0.00,0.00,0
2023-02-11-3,43.62,40.07,217.43,0
2023-02-11-4,20.47,14.02,192.86,0
2023-02-11-5,26.34,22.47,201.95,0
2023-02-11-6,20.30,18.92,50.53,0
2023-02-11-7,18.72,19.08,40.88,0
2023-02-11-8,35.42,31.14,183.23,0
2023-02-11-9,58.30,55.12,189.23,0
2023-02-11-10,73.24,64.62,215.23,0
2023-02-11-11,72.13,63.85,217.98,0
2023-02-11-12,51.62,51.75,142.45,0
2023-02-11-13,40.77,38.59,84.61,0
2023-02-11-14,22.72,23.31,41.14,0
2023-02-11-15,13.85,14.23,37.62,0
2023-02-11-16,36.44,26.42,130.54,0
2023-02-11-17,7.41,0.00,99.44,0
2023-02-11-18,0.00,0.00,0.00,0
2023-02-11-19,0.00,0.00,0.00,0
2023-02-11-20,0.00,0.00,0.00,0
2023-02-11-21,0.00,0.00,0.00,0
2023-02-11-22,0.00,0.00,0.00,0
2023-02-11-23,0.00,0.00,0.00,0
2023-02-12-0,0.00,0.00,0.00,0
2023-02-12-1,0.00,0.00,0.00,0
2023-02-12-2,0.00,0.00,0.00,0
2023-02-12-3,39.92,35.86,175.62,0
2023-02-12-4,12.86,10.59,68.71,0
2023-02-12-5,10.75,8.62,100.34,0
2023-02-12-6,18.50,11.46,195.80,0
2023-02-12-7,37.77,28.75,209.25,0
2023-02-12-8,50.22,49.02,141.45,0
2023-02-12-9,25.69,24.95,111.60,0
2023-02-12-10,22.88,20.30,167.22,0
2023-02-12-11,42.65,38.18,188.76,0
2023-02-12-12,27.62,27.74,46.91,0
2023-02-12-13,19.65,19.02,37.97,0
2023-02-12-14,15.82,15.33,40.55,0
2023-02-12-15,30.03,30.21,47.42,0
2023-02-12-16,50.33,44.01,106.47,0
2023-02-12-17,3.21,0.00,65.48,0
2023-02-12-18,0.00,0.00,0.00,0
2023-02-12-19,0.00,0.00,0.00,0
2023-02-12-20,0.00,0.00,0.00,0
2023-02-12-21,0.00,0.00,0.00,0
2023-02-12-22,0.00,0.00,0.00,0
2023-02-12-23,0.00,0.00,0.00,0
2023-02-13-0,0.00,0.00,0.00,0
2023-02-13-1,0.00,0.00,0.00,0
