segment,mean,median,max,sunlight_contamination,dark_segment
2016-01-01-0,0.0,0.0,0.0,0,1
2016-01-01-1,7.06,0.0,32.17,0,1
2016-01-01-2,16.17,17.09,196.23,0,0
2016-01-01-3,13.17,13.07,51.51,0,1
2016-01-01-4,57.16,52.64,162.67,0,0
2016-01-01-5,140.58,146.66,239.45,0,0
2016-01-01-6,92.66,83.4,237.72,0,0
2016-01-01-7,33.48,30.55,190.69,0,0
2016-01-01-8,144.56,161.0,239.45,0,0
2016-01-01-9,138.19,150.52,239.45,0,0
2016-01-01-10,54.15,37.41,213.44,0,0
2016-01-01-11,46.65,42.19,216.43,0,0
2016-01-01-12,34.87,34.38,200.6,0,0
2016-01-01-13,25.94,23.62,86.25,0,0
2016-01-01-14,31.38,26.24,184.96,0,0
2016-01-01-15,17.49,17.0,45.06,0,0
2016-01-01-16,11.57,8.73,65.01,0,1
2016-01-01-17,19.14,15.37,249.07,0,0
2016-01-01-18,6.08,0.0,76.79,0,1
2016-01-01-19,0.0,0.0,0.0,0,1
2016-01-01-20,0.0,0.0,0.0,0,1
2016-01-01-21,0.0,0.0,0.0,0,1
2016-01-01-22,0.0,0.0,0.0,0,1
2016-01-01-23,0.0,0.0,0.0,0,1
2016-01-02-0,0.0,0.0,0.0,0,1
2016-01-02-1,13.65,0.89,45.49,0,1
2016-01-02-2,7.07,5.68,26.28,0,1
2016-01-02-3,4.03,3.89,22.59,0,1
2016-01-02-4,1.61,1.49,23.04,0,1
2016-01-02-5,2.55,2.09,23.33,0,1
2016-01-02-6,3.41,3.29,22.36,0,1
2016-01-02-7,7.59,6.86,25.88,0,1
2016-01-02-8,18.7,18.37,44.4,0,0
2016-01-02-9,52.69,43.44,198.58,0,0
2016-01-02-10,91.34,83.2,216.66,0,0
2016-01-02-11,41.9,41.93,89.34,0,0
2016-01-02-12,32.86,31.7,70.17,0,0
2016-01-02-13,19.55,18.88,42.91,0,0
2016-01-02-14,16.46,15.45,67.02,0,0
2016-01-02-15,21.16,21.44,70.79,0,0
2016-01-02-16,23.78,22.9,60.25,0,0
2016-01-02-17,17.9,17.16,44.42,0,0
2016-01-02-18,6.46,0.0,45.01,0,1
2016-01-02-19,0.0,0.0,0.0,0,1
2016-01-02-20,0.0,0.0,0.0,0,1
2016-01-02-21,0.0,0.0,0.0,0,1
2016-01-02-22,0.0,0.0,0.0,0,1
2016-01-02-23,0.0,0.0,0.0,0,1
2016-01-03-0,0.0,0.0,0.0,0,1
2016-01-03-1,15.01,0.0,128.17,0,1
2016-01-03-2,9.96,6.97,111.91,0,1
2016-01-03-3,4.71,4.46,22.95,0,1
2016-01-03-4,4.49,4.17,22.95,0,1
2016-01-03-5,5.74,5.37,23.53,0,1
2016-01-03-6,8.74,7.73,31.16,0,1
2016-01-03-7,12.58,9.49,151.24,0,1
2016-01-03-8,11.58,9.8,89.47,0,1
2016-01-03-9,6.29,5.65,39.87,0,1
2016-01-03-10,2.91,2.68,22.52,0,1
2016-01-03-11,13.62,10.1,53.72,0,1
2016-01-03-12,28.04,29.46,56.11,0,0
2016-01-03-13,13.07,12.41,34.28,0,1
2016-01-03-14,0.75,0.0,20.87,0,1
2016-01-03-15,0.0,0.0,0.0,0,1
2016-01-03-16,0.0,0.0,0.0,0,1
2016-01-03-17,0.0,0.0,0.0,0,1
2016-01-03-18,0.0,0.0,0.0,0,1
2016-01-03-19,0.0,0.0,0.0,0,1
2016-01-03-20,0.0,0.0,0.0,0,1
2016-01-03-21,0.0,0.0,0.0,0,1
2016-01-03-22,0.0,0.0,0.0,0,1
2016-01-03-23,0.0,0.0,0.0,0,1
2016-01-04-0,0.0,0.0,0.0,0,1
2016-01-04-1,14.78,0.0,223.48,0,1
2016-01-04-2,13.2,8.14,248.27,0,1
2016-01-04-3,5.05,4.46,21.29,0,1
2016-01-04-4,3.76,3.28,18.73,0,1
2016-01-04-5,3.73,2.69,21.66,0,1
2016-01-04-6,9.68,5.95,106.43,0,1
2016-01-04-7,13.64,9.21,94.76,0,1
2016-01-04-8,9.43,6.84,37.0,0,1
2016-01-04-9,5.87,4.46,31.65,0,1
2016-01-04-10,7.17,4.16,49.27,0,1
2016-01-04-11,7.98,5.64,32.5,0,1
2016-01-04-12,6.69,5.95,24.12,0,1
2016-01-04-13,7.78,7.13,24.52,0,1
2016-01-04-14,6.29,5.95,24.71,0,1
2016-01-04-15,5.55,5.36,24.12,0,1
2016-01-04-16,5.96,5.67,22.36,0,1
2016-01-04-17,13.46,10.04,40.9,0,1
2016-01-04-18,3.04,0.0,40.17,0,1
2016-01-04-19,0.0,0.0,0.0,0,1
2016-01-04-20,0.0,0.0,0.0,0,1
2016-01-04-21,0.0,0.0,0.0,0,1
2016-01-04-22,0.0,0.0,0.0,0,1
2016-01-04-23,0.0,0.0,0.0,0,1
2016-01-05-0,0.0,0.0,0.0,0,1
2016-01-05-1,0.0,0.0,0.0,0,1
2016-01-05-2,3.54,2.09,25.11,0,1
2016-01-05-3,5.64,5.36,23.06,0,1
2016-01-05-4,5.16,4.77,22.65,0,1
2016-01-05-5,4.52,4.17,22.95,0,1
2016-01-05-6,5.54,5.36,22.95,0,1
2016-01-05-7,5.71,5.66,22.95,0,1
2016-01-05-8,6.68,6.26,23.65,0,1
2016-01-05-9,16.73,17.53,34.46,0,0
2016-01-05-10,17.88,17.51,171.29,0,0
2016-01-05-11,12.06,11.9,39.47,0,1
2016-01-05-12,9.15,8.65,26.12,0,1
2016-01-05-13,7.43,7.45,22.95,0,1
2016-01-05-14,8.16,7.74,23.53,0,1
2016-01-05-15,8.06,6.86,25.57,0,1
2016-01-05-16,7.19,5.67,24.71,0,1
2016-01-05-17,12.81,10.29,42.84,0,1
2016-01-05-18,4.5,0.0,42.2,0,1
2016-01-05-19,0.0,0.0,0.0,0,1
2016-01-05-20,0.0,0.0,0.0,0,1
2016-01-05-21,0.0,0.0,0.0,0,1
2016-01-05-22,0.0,0.0,0.0,0,1
2016-01-05-23,0.0,0.0,0.0,0,1
2016-01-06-0,0.0,0.0,0.0,0,1
2016-01-06-1,7.49,0.0,196.29,0,1
2016-01-06-2,17.18,14.64,247.48,0,1
2016-01-06-3,8.81,5.36,37.17,0,1
2016-01-06-4,9.66,6.25,59.93,0,1
2016-01-06-5,9.14,7.44,53.88,0,1
2016-01-06-6,9.36,9.48,24.12,0,1
2016-01-06-7,41.8,26.17,207.72,0,0
2016-01-06-8,96.23,92.92,239.45,0,0
2016-01-06-9,134.03,134.09,243.46,0,0
2016-01-06-10,119.63,111.93,244.97,0,0
2016-01-06-11,82.19,76.01,198.01,0,0
2016-01-06-12,46.9,35.22,199.64,0,0
2016-01-06-13,32.71,30.7,86.44,0,0
2016-01-06-14,31.39,25.09,96.93,0,0
2016-01-06-15,41.49,44.01,100.39,0,0
2016-01-06-16,18.78,15.48,58.65,0,0
2016-01-06-17,16.44,14.5,43.76,0,1
2016-01-06-18,4.29,0.0,44.38,0,1
2016-01-06-19,0.0,0.0,0.0,0,1
2016-01-06-20,0.0,0.0,0.0,0,1
2016-01-06-21,0.0,0.0,0.0,0,1
2016-01-06-22,0.0,0.0,0.0,0,1
2016-01-06-23,0.0,0.0,0.0,0,1
2016-01-07-0,0.0,0.0,0.0,0,1
2016-01-07-1,7.59,0.0,224.25,0,1
2016-01-07-2,21.3,15.94,247.02,0,0
2016-01-07-3,4.59,2.98,42.06,0,1
2016-01-07-4,3.85,2.69,26.34,0,1
2016-01-07-5,5.97,2.99,38.74,0,1
2016-01-07-6,9.0,4.77,107.57,0,1
2016-01-07-7,33.48,20.41,235.56,0,0
2016-01-07-8,31.94,20.16,226.09,0,0
2016-01-07-9,26.69,27.42,144.46,0,0
2016-01-07-10,127.69,134.75,249.07,0,0
2016-01-07-11,52.0,39.71,248.5,0,0
2016-01-07-12,45.2,37.35,191.81,0,0
2016-01-07-13,51.96,44.77,193.18,0,0
2016-01-07-14,36.15,31.3,99.06,0,0
2016-01-07-15,30.35,29.73,91.71,0,0
2016-01-07-16,19.06,18.42,75.1,0,0
2016-01-07-17,20.56,20.82,130.41,0,0
2016-01-07-18,2.21,0.0,36.96,0,1
2016-01-07-19,0.0,0.0,0.0,0,1
2016-01-07-20,0.0,0.0,0.0,0,1
2016-01-07-21,0.0,0.0,0.0,0,1
2016-01-07-22,0.0,0.0,0.0,0,1
2016-01-07-23,0.0,0.0,0.0,0,1
2016-01-08-0,0.0,0.0,0.0,0,1
2016-01-08-1,5.33,0.0,223.13,0,1
2016-01-08-2,14.39,10.8,245.08,0,1
2016-01-08-3,5.71,4.77,29.69,0,1
2016-01-08-4,5.72,4.16,30.54,0,1
2016-01-08-5,5.61,3.86,28.46,0,1
2016-01-08-6,5.94,4.76,26.67,0,1
2016-01-08-7,13.59,7.42,190.83,0,1
