segment,mean,median,max
2023-02-08-3,28.88,22.97,223.18
2023-02-08-6,32.64,25.22,130.45
2023-02-08-9,74.37,75.58,154.96
2023-02-08-12,92.45,94.21,223.89
2023-02-08-15,32.91,34.12,96.31
2023-02-09-3,24.39,16.95,132.74
2023-02-09-6,30.9,19.21,212.54
2023-02-09-9,53.61,43.0,213.62
2023-02-09-12,59.85,54.49,221.54
2023-02-09-15,44.58,47.02,180.64
2023-02-10-3,30.7,24.47,162.82
2023-02-10-6,28.89,26.4,144.44
2023-02-10-9,64.42,51.66,218.84
2023-02-10-12,91.61,69.63,239.15
2023-02-10-15,34.98,36.89,218.02
2023-02-11-3,30.34,22.06,217.43
2023-02-11-6,24.8,21.54,183.23
2023-02-11-9,67.87,60.41,217.98
2023-02-11-12,38.31,35.47,142.45
2023-02-12-6,35.43,28.04,209.25
2023-02-12-9,30.37,27.08,188.76
2023-02-12-12,21.04,19.73,46.91
2023-02-12-15,27.82,28.15,106.47
2023-02-13-12,28.58,19.06,83.66
2023-02-14-6,26.07,15.8,196.07
2023-02-14-9,66.0,53.02,232.87
2023-02-15-12,74.26,59.7,225.03
2023-02-15-15,65.29,46.66,239.45
2023-02-16-3,23.84,16.89,164.81
2023-02-16-6,56.37,46.69,248.18
2023-02-16-9,91.59,87.28,249.07
2023-02-16-12,60.76,33.62,248.73
2023-02-16-15,54.45,20.34,234.39
2023-02-17-9,22.5,16.33,194.3
2023-02-19-9,29.98,22.27,217.4
2023-02-19-12,40.04,34.76,104.96
2023-02-19-15,19.86,15.4,80.98
2023-02-21-6,23.67,21.33,125.63
2023-02-21-9,94.75,73.46,224.2
2023-02-21-12,30.21,23.99,217.71
2023-02-22-12,37.38,33.2,182.15
2023-02-23-3,20.28,16.23,128.87
2023-02-23-6,37.78,23.87,196.99
2023-02-23-9,43.01,35.6,122.24
2023-02-23-12,26.74,26.65,53.63
2023-02-25-9,52.2,46.32,199.93
2023-02-25-12,21.14,19.08,55.39
2023-02-26-3,22.97,20.33,232.06
2023-02-26-6,34.98,24.61,195.86
2023-02-26-9,70.29,61.12,207.92
2023-02-26-12,49.42,51.22,121.03
2023-02-27-3,36.71,30.44,248.96
2023-02-27-6,116.17,103.93,249.07
2023-02-27-9,103.8,101.93,249.07
2023-02-27-12,68.27,47.08,249.07
2023-02-28-3,35.1,32.25,223.3
2023-02-28-6,52.79,39.64,222.41
2023-02-28-9,41.15,25.0,221.51
2023-02-28-12,30.31,30.29,99.91
2023-03-01-3,25.88,22.08,105.64
2023-03-01-6,23.3,24.3,222.71
2023-03-01-9,30.17,28.61,69.23
2023-03-01-12,21.1,18.04,67.91
2023-03-02-3,22.9,20.82,132.64
2023-03-02-6,72.19,55.79,229.29
2023-03-02-9,59.12,42.56,239.15
2023-03-02-12,30.13,29.52,86.57
2023-03-03-3,32.23,40.82,81.6
2023-03-03-6,96.11,78.23,239.45
2023-03-03-9,80.02,80.35,211.64
2023-03-03-12,67.68,62.76,182.45
2023-03-04-3,22.02,19.69,131.44
2023-03-04-6,61.97,51.38,231.98
2023-03-04-9,64.33,51.97,224.48
2023-03-04-12,37.88,36.89,138.0
