segment,mean,median,max,sunlight_contamination,dark_segment
2012-02-15-0,0.0,0.0,0.0,0,1
2012-02-15-3,61.58,59.89,239.45,0,0
2012-02-15-6,84.43,70.73,248.73,0,0
2012-02-15-9,97.28,79.5,249.07,0,0
2012-02-15-12,67.45,51.41,234.83,0,0
2012-02-15-15,43.22,0.0,241.84,0,1
2012-02-15-18,0.0,0.0,0.0,0,1
2012-02-15-21,0.0,0.0,0.0,0,1
2012-02-19-0,0.0,0.0,0.0,0,1
2012-02-19-3,51.7,31.21,249.07,0,0
2012-02-19-6,61.4,46.39,239.15,0,0
2012-02-19-9,23.17,19.24,186.76,0,0
2012-02-19-12,36.6,36.06,194.91,0,0
2012-02-19-15,20.89,9.51,149.32,0,1
2012-02-19-18,0.0,0.0,0.0,0,1
2012-02-19-21,0.0,0.0,0.0,0,1
2012-02-20-0,0.0,0.0,0.0,0,1
2012-02-20-3,15.21,7.12,142.86,0,1
2012-02-20-6,62.35,39.43,249.07,0,0
2012-02-20-9,80.83,70.66,237.68,0,0
2012-02-20-12,84.2,69.35,246.34,0,0
2012-02-20-15,34.54,4.81,160.39,0,1
2012-02-20-18,0.0,0.0,0.0,0,1
2012-02-20-21,0.0,0.0,0.0,0,1
2012-02-21-0,0.0,0.0,0.0,0,1
2012-02-21-3,9.45,6.54,51.6,0,1
2012-02-21-6,11.07,8.63,106.08,0,1
2012-02-21-9,20.36,11.86,218.82,0,1
2012-02-21-12,10.55,7.12,70.29,0,1
2012-02-21-15,3.55,0.0,123.08,0,1
2012-02-21-18,0.0,0.0,0.0,0,1
2012-02-21-21,0.0,0.0,0.0,0,1
2012-02-22-0,0.0,0.0,0.0,0,1
2012-02-22-3,12.29,10.65,42.8,0,1
2012-02-22-6,39.52,22.61,247.25,0,0
2012-02-22-9,50.38,46.44,239.45,0,0
2012-02-22-12,39.56,35.53,125.64,0,0
2012-02-22-15,9.3,0.0,51.8,0,1
2012-02-22-18,0.0,0.0,0.0,0,1
2012-02-22-21,0.0,0.0,0.0,0,1
2012-02-23-0,0.0,0.0,0.0,0,1
2012-02-23-3,6.71,3.29,49.65,0,1
2012-02-23-6,5.33,3.88,62.54,0,1
2012-02-23-9,13.11,9.8,51.74,0,1
2012-02-23-12,1.15,0.6,6.22,0,1
2012-02-23-15,5.61,0.0,49.81,0,1
2012-02-23-18,0.0,0.0,0.0,0,1
2012-02-23-21,0.0,0.0,0.0,0,1
2012-02-24-0,0.0,0.0,0.0,0,1
2012-02-24-3,7.01,4.46,43.49,0,1
2012-02-24-6,4.41,4.15,26.6,0,1
2012-02-24-9,15.88,14.83,54.47,0,1
2012-02-24-12,14.74,10.43,66.75,0,1
2012-02-24-15,6.5,0.0,56.66,0,1
2012-02-24-18,0.0,0.0,0.0,0,1
2012-02-24-21,0.0,0.0,0.0,0,1
2012-02-25-0,0.0,0.0,0.0,0,1
2012-02-25-3,6.27,2.98,43.62,0,1
2012-02-25-6,12.92,4.76,182.71,0,1
2012-02-25-9,61.64,51.33,193.3,0,0
2012-02-25-12,52.54,52.06,137.8,0,0
2012-02-25-15,7.6,0.0,46.79,0,1
2012-02-25-18,0.0,0.0,0.0,0,1
2012-02-25-21,0.0,0.0,0.0,0,1
2012-02-26-0,0.0,0.0,0.0,0,1
2012-02-26-3,7.08,5.35,45.03,0,1
2012-02-26-6,7.45,6.53,22.5,0,1
2012-02-26-9,30.5,28.94,94.34,0,0
2012-02-26-12,23.39,14.44,97.77,0,1
2012-02-26-15,7.41,0.0,56.98,0,1
2012-02-26-18,0.0,0.0,0.0,0,1
2012-02-26-21,0.0,0.0,0.0,0,1
2012-02-27-0,0.0,0.0,0.0,0,1
2012-02-27-3,11.01,8.04,106.11,0,1
2012-02-27-6,11.25,10.97,40.31,0,1
2012-02-27-9,25.94,24.93,69.5,0,0
2012-02-27-12,38.05,36.28,107.5,0,0
2012-02-27-15,31.99,0.0,156.93,0,1
2012-02-27-18,0.0,0.0,0.0,0,1
2012-02-27-21,0.0,0.0,0.0,0,1
2012-02-28-0,0.0,0.0,0.0,0,1
2012-02-28-3,8.44,9.52,36.01,0,1
2012-02-28-6,67.27,73.7,168.06,0,0
2012-02-28-9,39.04,32.4,140.34,0,0
2012-02-28-12,13.05,11.58,50.27,0,1
