segment,mean,median,max,sunlight_contamination,dark_segment
2021-01-01-0,0.0,0.0,0.0,0,1
2021-01-01-1,18.3,11.37,127.3,0,1
2021-01-01-2,9.46,7.76,84.38,0,1
2021-01-01-3,7.03,6.9,20.74,0,1
2021-01-01-4,9.18,8.58,24.18,0,1
2021-01-01-5,12.68,11.15,30.7,0,1
2021-01-01-6,16.11,15.76,29.66,0,0
2021-01-01-7,21.65,19.02,247.82,0,0
2021-01-01-8,27.96,23.25,230.65,1,0
2021-01-01-9,19.96,20.9,29.32,0,0
2021-01-01-10,20.42,22.25,29.55,0,0
2021-01-01-11,19.99,21.06,30.0,0,0
2021-01-01-12,20.15,20.86,29.07,0,0
2021-01-01-13,19.5,22.2,29.77,1,0
2021-01-01-14,20.84,23.38,35.48,1,0
2021-01-01-15,19.71,20.87,27.8,0,0
2021-01-01-16,19.94,21.04,29.08,0,0
2021-01-01-17,20.44,20.97,33.81,0,0
2021-01-01-18,1.8,0.0,33.91,0,1
2021-01-01-19,0.0,0.0,0.0,0,1
2021-01-01-20,0.0,0.0,0.0,0,1
2021-01-01-21,0.0,0.0,0.0,0,1
2021-01-01-22,0.0,0.0,0.0,0,1
2021-01-01-23,0.0,0.0,0.0,0,1
2021-01-02-0,0.0,0.0,0.0,0,1
2021-01-02-1,17.17,0.0,123.78,0,1
2021-01-02-2,8.5,5.37,76.64,0,1
2021-01-02-3,3.65,3.98,9.15,0,1
2021-01-02-4,5.22,5.17,21.04,0,1
2021-01-02-5,7.59,7.01,25.78,0,1
2021-01-02-6,10.21,8.84,27.69,0,1
2021-01-02-7,11.82,10.11,29.66,0,1
2021-01-02-8,18.11,15.24,248.27,0,0
2021-01-02-9,17.68,15.51,248.84,0,0
2021-01-02-10,13.82,12.1,30.83,0,1
2021-01-02-11,12.01,11.96,28.92,0,1
2021-01-02-12,10.69,11.18,27.31,0,1
2021-01-02-13,9.91,10.1,27.79,0,1
2021-01-02-14,9.44,9.54,25.51,0,1
2021-01-02-15,9.0,9.05,19.51,0,1
2021-01-02-16,8.91,8.69,22.07,0,1
2021-01-02-17,20.1,14.57,137.79,0,1
2021-01-02-18,9.59,0.0,143.61,0,1
2021-01-02-19,0.0,0.0,0.0,0,1
2021-01-02-20,0.0,0.0,0.0,0,1
2021-01-02-21,0.0,0.0,0.0,0,1
