segment,mean,median,max,sunlight_contamination
2012-02-15-0,0.00,0.00,0.00,0
2012-02-15-1,0.00,0.00,0.00,0
2012-02-15-2,0.00,0.00,0.00,0
2012-02-15-3,14.73,0.00,223.89,0
2012-02-15-4,100.70,93.54,239.45,0
2012-02-15-5,67.27,67.65,142.91,0
2012-02-15-6,61.23,58.57,243.14,0
2012-02-15-7,117.87,118.40,248.73,0
2012-02-15-8,72.99,68.31,210.27,0
2012-02-15-9,52.36,48.01,189.11,0
2012-02-15-10,89.67,73.78,248.96,0
2012-02-15-11,144.28,144.83,249.07,0
2012-02-15-12,50.90,45.02,198.38,0
2012-02-15-13,76.29,61.75,234.83,0
2012-02-15-14,74.42,53.90,223.27,0
2012-02-15-15,105.96,92.10,241.84,0
2012-02-15-16,34.92,0.00,230.83,0
2012-02-15-17,0.00,0.00,0.00,0
2012-02-15-18,0.00,0.00,0.00,0
2012-02-15-19,0.00,0.00,0.00,0
2012-02-15-20,0.00,0.00,0.00,0
2012-02-15-21,0.00,0.00,0.00,0
2012-02-15-22,0.00,0.00,0.00,0
2012-02-15-23,0.00,0.00,0.00,0
2012-02-19-0,0.00,0.00,0.00,0
2012-02-19-1,0.00,0.00,0.00,0
2012-02-19-2,0.00,0.00,0.00,0
2012-02-19-3,6.77,0.00,197.18,0
2012-02-19-4,56.27,39.30,248.62,0
2012-02-19-5,96.25,84.59,249.07,0
2012-02-19-6,96.84,89.15,239.15,0
2012-02-19-7,57.04,58.26,216.38,0
2012-02-19-8,29.45,31.94,168.40,0
2012-02-19-9,21.13,21.02,180.60,0
2012-02-19-10,17.04,18.01,136.38,0
2012-02-19-11,31.22,19.87,186.76,0
2012-02-19-12,33.03,33.11,159.46,0
2012-02-19-13,38.26,38.02,194.91,0
2012-02-19-14,38.32,37.49,177.64,0
2012-02-19-15,31.22,27.45,90.79,0
2012-02-19-16,31.77,28.03,149.32,0
2012-02-19-17,0.00,0.00,0.00,0
2012-02-19-18,0.00,0.00,0.00,0
2012-02-19-19,0.00,0.00,0.00,0
2012-02-19-20,0.00,0.00,0.00,0
2012-02-19-21,0.00,0.00,0.00,0
2012-02-19-22,0.00,0.00,0.00,0
2012-02-19-23,0.00,0.00,0.00,0
2012-02-20-0,0.00,0.00,0.00,0
2012-02-20-1,0.00,0.00,0.00,0
2012-02-20-2,0.00,0.00,0.00,0
2012-02-20-3,20.15,0.00,142.86,0
2012-02-20-4,15.32,10.97,108.30,0
2012-02-20-5,10.11,7.11,63.07,0
2012-02-20-6,22.60,20.94,110.46,0
2012-02-20-7,57.17,39.36,249.07,0
2012-02-20-8,100.66,91.75,249.07,0
2012-02-20-9,79.11,77.01,195.07,0
2012-02-20-10,74.15,61.30,237.68,0
2012-02-20-11,89.24,70.75,214.06,0
2012-02-20-12,96.15,80.41,246.34,0
2012-02-20-13,90.91,67.22,215.55,0
2012-02-20-14,65.46,60.76,194.08,0
2012-02-20-15,57.98,55.22,160.39,0
2012-02-20-16,46.28,44.26,154.01,0
2012-02-20-17,0.00,0.00,0.00,0
2012-02-20-18,0.00,0.00,0.00,0
2012-02-20-19,0.00,0.00,0.00,0
2012-02-20-20,0.00,0.00,0.00,0
2012-02-20-21,0.00,0.00,0.00,0
2012-02-20-22,0.00,0.00,0.00,0
2012-02-20-23,0.00,0.00,0.00,0
2012-02-21-0,0.00,0.00,0.00,0
2012-02-21-1,0.00,0.00,0.00,0
2012-02-21-2,0.00,0.00,0.00,0
2012-02-21-3,9.61,0.00,50.68,0
2012-02-21-4,11.20,8.02,51.60,0
2012-02-21-5,7.54,6.83,23.82,0
2012-02-21-6,9.62,8.91,24.23,0
2012-02-21-7,9.69,7.43,60.84,0
2012-02-21-8,13.86,9.79,106.08,0
2012-02-21-9,21.95,10.38,218.82,0
2012-02-21-10,26.35,19.61,198.32,0
2012-02-21-11,12.91,8.58,57.32,0
2012-02-21-12,11.95,7.97,70.29,0
2012-02-21-13,11.50,9.18,40.16,0
2012-02-21-14,8.22,5.35,39.98,0
2012-02-21-15,7.44,4.76,62.13,0
2012-02-21-16,3.52,0.00,123.08,0
2012-02-21-17,0.00,0.00,0.00,0
2012-02-21-18,0.00,0.00,0.00,0
2012-02-21-19,0.00,0.00,0.00,0
2012-02-21-20,0.00,0.00,0.00,0
2012-02-21-21,0.00,0.00,0.00,0
2012-02-21-22,0.00,0.00,0.00,0
2012-02-21-23,0.00,0.00,0.00,0
2012-02-22-0,0.00,0.00,0.00,0
2012-02-22-1,0.00,0.00,0.00,0
2012-02-22-2,0.00,0.00,0.00,0
2012-02-22-3,4.51,0.00,38.00,0
2012-02-22-4,15.75,15.48,37.34,0
2012-02-22-5,16.43,14.52,42.80,0
2012-02-22-6,16.33,13.31,95.34,0
2012-02-22-7,32.32,23.38,197.75,0
2012-02-22-8,76.59,50.11,247.25,0
2012-02-22-9,64.91,65.92,239.45,0
2012-02-22-10,57.43,61.30,168.85,0
2012-02-22-11,31.21,32.33,61.30,0
2012-02-22-12,45.88,45.90,117.13,0
2012-02-22-13,50.41,46.60,125.64,0
2012-02-22-14,22.18,20.17,76.19,0
2012-02-22-15,14.91,14.41,38.24,0
2012-02-22-16,13.03,0.00,51.80,0
2012-02-22-17,0.00,0.00,0.00,0
2012-02-22-18,0.00,0.00,0.00,0
2012-02-22-19,0.00,0.00,0.00,0
2012-02-22-20,0.00,0.00,0.00,0
2012-02-22-21,0.00,0.00,0.00,0
2012-02-22-22,0.00,0.00,0.00,0
2012-02-22-23,0.00,0.00,0.00,0
2012-02-23-0,0.00,0.00,0.00,0
2012-02-23-1,0.00,0.00,0.00,0
2012-02-23-2,0.00,0.00,0.00,0
2012-02-23-3,6.99,0.00,48.31,0
2012-02-23-4,9.85,5.66,49.65,0
2012-02-23-5,3.29,3.29,20.30,0
2012-02-23-6,3.45,3.28,21.17,0
2012-02-23-7,4.42,3.88,21.77,0
2012-02-23-8,8.21,6.53,62.54,0
2012-02-23-9,6.56,5.65,28.52,0
2012-02-23-10,17.21,16.24,49.01,0
2012-02-23-11,15.56,12.40,51.74,0
2012-02-23-12,1.86,1.78,6.22,0
2012-02-23-13,0.80,0.30,3.57,0
2012-02-23-14,0.79,0.30,3.57,0
2012-02-23-15,3.41,2.08,25.55,0
2012-02-23-16,13.42,0.00,49.81,0
2012-02-23-17,0.00,0.00,0.00,0
2012-02-23-18,0.00,0.00,0.00,0
2012-02-23-19,0.00,0.00,0.00,0
2012-02-23-20,0.00,0.00,0.00,0
2012-02-23-21,0.00,0.00,0.00,0
2012-02-23-22,0.00,0.00,0.00,0
2012-02-23-23,0.00,0.00,0.00,0
2012-02-24-0,0.00,0.00,0.00,0
2012-02-24-1,0.00,0.00,0.00,0
2012-02-24-2,0.00,0.00,0.00,0
2012-02-24-3,4.19,0.00,42.62,0
2012-02-24-4,12.57,8.34,43.49,0
2012-02-24-5,4.27,4.46,21.96,0
2012-02-24-6,2.75,2.97,21.77,0
2012-02-24-7,5.13,4.46,15.70,0
2012-02-24-8,5.36,5.35,26.60,0
2012-02-24-9,13.41,12.98,30.66,0
2012-02-24-10,14.15,13.91,36.65,0
2012-02-24-11,20.06,19.61,54.47,0
2012-02-24-12,27.74,27.81,66.75,0
2012-02-24-13,12.97,12.20,32.66,0
2012-02-24-14,3.50,3.27,10.64,0
2012-02-24-15,8.86,5.98,56.66,0
2012-02-24-16,10.64,0.00,55.20,0
2012-02-24-17,0.00,0.00,0.00,0
2012-02-24-18,0.00,0.00,0.00,0
2012-02-24-19,0.00,0.00,0.00,0
2012-02-24-20,0.00,0.00,0.00,0
2012-02-24-21,0.00,0.00,0.00,0
2012-02-24-22,0.00,0.00,0.00,0
2012-02-24-23,0.00,0.00,0.00,0
2012-02-25-0,0.00,0.00,0.00,0
2012-02-25-1,0.00,0.00,0.00,0
2012-02-25-2,0.00,0.00,0.00,0
2012-02-25-3,2.63,0.00,42.10,0
2012-02-25-4,13.19,8.65,43.62,0
2012-02-25-5,2.98,2.99,19.71,0
2012-02-25-6,2.94,2.98,20.30,0
2012-02-25-7,5.93,4.75,49.01,0
2012-02-25-8,30.32,22.33,182.71,0
2012-02-25-9,38.45,38.26,119.10,0
2012-02-25-10,54.97,50.16,187.48,0
2012-02-25-11,91.50,88.99,193.30,0
2012-02-25-12,53.63,52.94,137.80,0
2012-02-25-13,62.89,65.66,117.45,0
2012-02-25-14,41.09,39.28,93.66,0
2012-02-25-15,15.47,14.13,46.79,0
2012-02-25-16,7.33,0.00,46.25,0
2012-02-25-17,0.00,0.00,0.00,0
2012-02-25-18,0.00,0.00,0.00,0
2012-02-25-19,0.00,0.00,0.00,0
2012-02-25-20,0.00,0.00,0.00,0
2012-02-25-21,0.00,0.00,0.00,0
2012-02-25-22,0.00,0.00,0.00,0
2012-02-25-23,0.00,0.00,0.00,0
2012-02-26-0,0.00,0.00,0.00,0
2012-02-26-1,0.00,0.00,0.00,0
2012-02-26-2,0.00,0.00,0.00,0
2012-02-26-3,0.64,0.00,29.38,0
2012-02-26-4,15.64,14.06,45.03,0
2012-02-26-5,5.49,5.36,21.47,0
2012-02-26-6,5.78,5.65,21.18,0
2012-02-26-7,5.97,5.95,14.51,0
2012-02-26-8,10.59,10.35,22.50,0
2012-02-26-9,17.85,16.27,50.16,0
2012-02-26-10,36.78,35.63,94.34,0
