segment,mean,median,max
2021-01-30-10,47.32,42.07,214.82
2021-01-30-11,41.96,37.11,140.29
2021-01-30-12,57.76,45.34,220.82
2021-01-30-13,54.89,47.56,174.2
2021-01-30-14,43.36,43.65,111.98
2021-01-30-15,29.09,28.59,69.16
2021-01-30-16,23.22,21.05,134.93
2021-02-03-16,42.22,43.56,165.41
2021-02-04-12,28.28,30.11,54.52
2021-02-04-13,17.78,18.18,39.81
2021-02-05-13,38.71,38.97,100.02
2021-02-05-14,15.07,15.15,39.91
2021-02-06-13,17.05,17.33,36.67
2021-02-06-14,42.38,42.39,85.61
2021-02-06-15,34.32,31.53,86.01
2021-02-06-16,33.83,32.04,81.69
2021-02-07-3,17.0,18.49,38.19
2021-02-07-4,24.23,22.88,66.09
2021-02-07-5,52.1,41.0,225.49
2021-02-07-6,23.37,25.7,78.65
2021-02-07-7,56.2,59.8,153.97
2021-02-07-8,88.99,84.27,217.33
2021-02-07-9,60.88,60.3,183.78
2021-02-07-10,32.9,34.77,89.25
2021-02-07-11,75.54,76.57,237.9
2021-02-07-12,26.63,27.14,75.65
2021-02-07-13,16.96,18.06,32.5
2021-02-07-16,15.94,17.53,28.87
2021-02-08-3,15.4,15.0,68.78
2021-02-08-9,31.59,32.39,102.77
2021-02-08-10,38.48,36.9,106.68
2021-02-08-11,24.4,25.1,49.85
2021-02-09-3,19.25,16.02,128.47
2021-02-09-8,26.83,26.42,107.21
2021-02-09-9,42.36,37.78,188.68
2021-02-09-10,64.06,55.88,194.57
2021-02-09-11,18.82,17.84,45.61
2021-02-10-12,15.99,17.06,30.98
2021-02-11-9,25.83,23.42,100.19
2021-02-11-10,23.62,25.46,42.21
2021-02-11-11,22.42,23.59,46.05
2021-02-12-12,17.28,16.97,39.1
2021-02-13-5,19.74,20.42,42.82
2021-02-13-6,24.22,25.31,65.37
2021-02-13-7,31.43,31.02,67.49
2021-02-13-8,55.06,48.14,233.43
2021-02-13-9,110.91,105.37,246.98
2021-02-13-10,135.35,134.79,248.96
2021-02-13-11,93.96,93.39,193.08
2021-02-13-12,55.75,57.66,148.09
2021-02-13-13,73.7,75.4,198.18
2021-02-13-14,58.96,62.63,111.21
2021-02-13-15,36.84,36.55,91.98
2021-02-13-16,26.33,27.68,125.21
2021-02-16-5,28.64,30.92,48.38
2021-02-16-6,69.04,65.65,205.06
2021-02-16-7,71.59,64.55,200.0
2021-02-16-8,79.26,41.55,226.3
2021-02-16-9,120.33,119.23,228.19
2021-02-16-10,67.3,63.52,152.94
2021-02-16-11,40.67,42.95,81.43
2021-02-16-12,33.58,36.2,59.62
2021-02-16-13,24.16,24.89,54.65
2021-02-16-14,29.58,29.08,76.23
2021-02-16-15,31.68,29.35,82.98
2021-02-16-16,21.56,24.96,53.02
2021-02-17-11,19.69,18.77,70.67
2021-02-17-13,15.99,16.16,35.71
2021-02-18-8,18.79,18.95,37.94
2021-02-18-9,16.01,15.16,34.42
2021-02-18-10,16.83,15.77,46.5
2021-02-19-7,16.89,17.76,44.86
2021-02-19-8,15.94,15.48,42.58
2021-02-19-9,14.6,15.39,32.07
2021-02-19-10,17.64,18.07,51.74
2021-02-19-11,36.97,38.41,85.07
2021-02-19-12,27.77,28.41,77.79
2021-02-19-13,25.95,25.6,74.86
2021-02-19-14,30.88,29.21,91.32
2021-02-19-15,34.25,33.74,126.16
2021-02-19-16,47.67,42.96,224.48
2021-02-20-4,19.47,18.97,36.28
2021-02-20-5,24.76,20.54,109.36
2021-02-20-6,116.26,107.18,239.45
2021-02-20-7,70.1,66.9,169.89
2021-02-20-8,49.96,51.19,87.68
2021-02-20-9,34.13,33.91,82.64
2021-02-20-10,33.94,32.73,119.53
2021-02-20-11,67.92,63.46,249.07
2021-02-20-12,84.49,82.68,183.78
2021-02-20-13,78.33,65.44,218.29
2021-02-20-14,63.14,47.85,185.9
2021-02-20-15,90.85,84.67,239.45
2021-02-21-4,18.26,16.78,115.27
2021-02-21-5,23.18,22.86,55.33
2021-02-21-6,25.64,24.92,68.23
2021-02-21-7,31.55,29.09,86.67
2021-02-21-8,78.64,40.73,247.02
2021-02-21-9,71.71,55.62,236.46
2021-02-21-10,30.63,30.34,59.79
2021-02-21-11,50.45,47.59,179.56
2021-02-21-12,103.25,104.29,248.39
2021-02-21-13,68.62,70.21,139.64
2021-02-21-14,116.32,114.36,211.94
2021-02-21-15,91.9,93.49,204.02
2021-02-22-4,27.34,22.35,131.16
2021-02-22-5,26.1,26.7,73.14
2021-02-22-6,22.05,22.2,47.82
2021-02-22-7,50.22,48.23,148.02
2021-02-22-8,72.09,72.94,163.26
2021-02-22-9,60.06,55.22,179.3
2021-02-22-10,39.77,39.68,103.39
2021-02-22-11,56.3,56.25,244.28
2021-02-22-12,64.0,61.27,247.13
2021-02-22-13,89.93,89.18,248.16
2021-02-22-14,35.62,37.03,99.58
2021-02-22-15,18.88,16.78,129.28
2021-02-23-4,22.65,22.82,69.35
2021-02-23-8,132.98,140.52,230.05
2021-02-23-9,137.82,138.04,240.25
2021-02-23-10,87.44,92.25,148.93
2021-02-23-11,88.95,91.7,157.2
2021-02-23-12,44.87,37.78,197.78
2021-02-23-13,114.41,102.04,249.07
2021-02-23-14,61.14,59.27,229.39
2021-02-23-15,34.05,31.07,136.69
2021-02-24-14,24.25,26.71,42.35
2021-02-24-15,22.8,23.75,50.3
2021-02-25-13,21.14,22.17,34.55
2021-02-26-15,27.69,30.8,45.3
2021-02-28-4,17.58,18.67,36.63
2021-02-28-5,16.47,17.93,27.23
2021-02-28-14,18.91,21.31,29.15
2021-02-28-15,22.38,23.96,49.78
2021-03-01-6,71.59,72.46,205.94
2021-03-01-7,34.51,35.86,87.72
2021-03-01-8,24.05,25.04,37.55
2021-03-01-9,120.91,114.06,249.07
2021-03-01-10,185.26,201.24,249.07
2021-03-01-14,20.87,22.79,37.35
2021-03-01-15,23.21,22.99,63.7
2021-03-02-7,39.22,41.8,74.74
2021-03-02-8,37.25,32.8,183.8
2021-03-02-9,40.18,30.69,239.15
2021-03-02-10,46.26,36.53,165.85
2021-03-02-11,25.3,25.54,75.93
2021-03-02-12,26.69,23.56,83.69
2021-03-02-13,30.5,33.88,67.39
2021-03-02-14,36.94,35.69,133.33
2021-03-02-15,64.25,71.96,162.13
2021-03-03-4,54.03,50.9,210.03
2021-03-03-5,41.37,41.82,120.25
2021-03-03-6,47.38,43.43,130.98
2021-03-03-7,64.53,61.48,215.53
2021-03-03-8,36.05,38.21,69.33
2021-03-03-9,50.71,46.55,163.46
2021-03-03-10,30.91,32.23,73.45
2021-03-03-11,42.05,43.01,103.06
2021-03-03-12,30.34,33.2,56.82
2021-03-03-13,26.66,28.43,45.88
2021-03-03-14,22.46,24.23,40.06
2021-03-03-15,33.93,31.77,79.05
2021-03-04-14,55.52,42.64,205.8
2021-03-04-15,59.16,64.87,123.49
2021-03-06-6,18.26,18.63,38.55
2021-03-06-7,28.12,28.67,105.32
2021-03-06-8,79.33,84.17,138.55
2021-03-06-9,45.5,41.92,145.92
2021-03-06-10,64.97,48.77,225.4
2021-03-06-11,69.21,66.08,194.72
2021-03-06-12,82.11,78.96,203.33
2021-03-06-13,28.48,26.96,77.51
2021-03-06-15,21.6,19.94,129.65
2021-03-12-6,18.86,17.55,61.38
2021-03-12-7,33.79,34.91,82.08
2021-03-12-8,50.41,46.21,152.46
2021-03-12-9,41.37,39.74,136.11
2021-03-12-10,61.01,45.71,203.97
2021-03-12-11,38.1,36.13,134.0
2021-03-12-12,27.05,22.53,94.5
2021-03-13-6,39.76,40.6,119.88
2021-03-13-7,35.28,36.79,69.25
2021-03-13-8,28.25,27.08,217.56
2021-03-13-9,79.42,45.11,243.09
2021-03-13-10,82.81,79.2,195.22
2021-03-13-11,42.49,43.29,102.53
2021-03-13-12,17.64,18.21,33.06
2021-03-13-13,16.88,16.91,32.59
2021-03-14-5,91.24,64.03,239.5
2021-03-14-6,67.95,50.44,246.27
2021-03-14-7,37.3,36.63,212.97
2021-03-14-8,39.88,34.56,212.9
2021-03-14-9,40.61,34.73,188.65
2021-03-14-10,67.32,60.38,226.0
2021-03-14-11,29.3,26.54,195.7
2021-03-14-12,22.21,21.87,86.65
2021-03-14-13,27.85,28.71,60.89
2021-03-14-14,56.83,41.44,220.95
2021-03-15-8,54.26,27.28,229.58
2021-03-15-9,66.57,58.35,228.2
2021-03-15-10,25.78,26.03,61.58
2021-03-15-11,23.79,23.95,59.71
2021-03-18-14,22.83,15.17,90.91
2021-03-19-5,20.29,19.37,90.3
2021-03-19-7,30.42,30.89,116.76
2021-03-19-8,33.0,32.76,121.87
2021-03-19-9,38.56,38.61,248.05
2021-03-19-10,33.39,31.57,86.4
2021-03-19-11,28.58,29.9,54.15
2021-03-19-12,32.19,34.57,54.05
2021-03-19-13,22.12,23.08,45.77
2021-03-19-14,25.68,24.21,64.87
2021-03-20-5,18.21,15.0,222.6
2021-03-20-7,163.0,170.69,249.07
2021-03-20-8,114.38,114.92,247.13
2021-03-20-9,37.37,21.57,248.96
2021-03-20-10,166.02,171.28,249.07
2021-03-20-11,65.19,62.48,201.5
2021-03-20-12,22.21,20.63,136.78
2021-03-20-13,16.93,16.11,68.69
2021-03-20-14,20.76,19.6,98.06
2021-03-21-9,24.43,25.86,44.22
2021-03-21-10,17.61,16.51,244.06
2021-03-21-12,71.3,69.33,197.19
2021-03-21-13,94.48,96.85,190.31
2021-03-21-14,113.55,132.53,239.45
2021-03-22-5,21.4,18.49,224.48
2021-03-22-6,17.16,15.47,74.99
2021-03-22-7,19.8,19.71,57.02
2021-03-22-8,18.13,19.13,42.14
2021-03-22-9,29.58,29.84,54.52
2021-03-22-10,28.41,29.3,62.36
2021-03-22-11,18.43,16.67,248.5
2021-03-22-14,27.96,28.92,132.57
2021-03-23-6,19.83,22.18,35.55
2021-03-23-7,22.26,24.18,40.11
2021-03-23-8,22.19,25.56,37.48
2021-03-23-9,22.25,24.86,43.34
2021-03-23-10,23.85,26.31,41.65
2021-03-23-11,26.77,28.68,54.79
2021-03-23-12,24.24,26.18,44.65
2021-03-23-13,14.65,15.43,30.06
2021-03-23-14,24.97,21.9,72.81
2021-03-24-10,45.4,38.76,99.99
2021-03-24-11,77.33,89.96,152.03
2021-03-24-12,69.41,69.13,156.07
2021-03-24-13,43.75,47.71,73.31
2021-03-24-14,26.43,24.84,68.57
2021-03-25-11,67.56,67.22,154.31
2021-03-25-12,70.23,79.75,117.16
2021-03-25-13,80.6,85.59,158.59
2021-03-25-14,59.81,22.56,186.98
2021-03-26-6,48.94,43.09,176.39
2021-03-26-9,141.58,157.13,248.5
2021-03-26-11,60.16,64.11,130.0
2021-03-26-12,55.36,59.11,116.35
2021-03-26-13,76.38,79.77,141.44
2021-03-27-12,16.2,17.94,27.69
2021-03-27-13,17.48,18.93,40.25
2021-03-29-6,19.32,20.76,42.84
2021-03-29-7,16.94,18.86,28.05
2021-03-29-12,18.19,20.84,27.69
2021-03-29-13,21.11,21.84,51.85
2021-03-30-9,15.33,16.21,25.89
2021-03-30-10,16.82,17.55,27.99
2021-03-30-11,16.53,17.09,27.36
2021-03-30-12,15.97,16.44,26.64
2021-03-30-13,26.37,24.78,55.22
2021-03-31-6,40.11,38.79,128.94
2021-03-31-7,46.53,37.82,199.1
2021-03-31-8,54.63,48.61,209.08
2021-03-31-9,31.62,34.13,55.2
2021-03-31-10,26.61,27.18,86.95
2021-03-31-11,35.67,31.24,128.33
2021-03-31-12,52.51,56.88,111.44
2021-03-31-13,85.51,81.94,173.07
2021-04-01-6,38.22,39.44,64.38
2021-04-01-7,23.28,24.53,48.57
2021-04-01-8,20.92,22.24,48.82
2021-04-01-9,16.16,17.37,29.9
2021-04-01-10,14.37,15.06,39.23
2021-04-01-13,21.59,19.95,41.79
2021-04-02-11,15.43,16.14,31.64
2021-04-02-12,23.22,25.29,36.55
2021-04-02-13,47.87,42.39,153.13
2021-04-04-13,31.92,16.33,143.74
2021-04-05-6,24.14,18.08,124.34
2021-04-05-12,48.07,29.76,210.16
2021-04-05-13,57.75,70.2,111.51
2021-04-06-6,20.23,16.91,219.19
2021-04-06-13,26.59,22.09,126.41
2021-04-07-6,22.69,18.77,223.89
2021-04-07-8,40.01,39.63,86.22
2021-04-07-9,133.56,134.86,239.45
2021-04-07-10,72.04,69.03,218.13
2021-04-07-11,61.0,64.38,220.66
2021-04-07-12,40.25,38.55,96.18
2021-04-07-13,42.31,49.84,145.61
2021-04-08-6,16.88,16.76,66.12
2021-04-08-11,21.84,20.02,63.44
2021-04-08-12,16.87,17.72,32.12
2021-04-08-13,26.49,26.9,80.47
2021-04-09-6,21.15,18.35,129.65
