segment,mean,median,max
2022-01-14-15,27.05,17.94,149.03
2022-01-20-12,25.73,15.03,248.27
2022-01-20-15,27.8,18.26,137.87
2022-01-21-12,28.37,17.66,247.59
2022-01-22-3,29.71,16.5,141.69
2022-01-22-6,31.33,16.25,139.63
2022-02-01-3,29.52,18.44,139.34
2022-02-01-6,28.76,17.52,139.63
2022-02-01-9,30.29,19.4,139.93
2022-02-01-12,33.5,23.5,148.43
2022-02-02-3,28.63,18.95,138.75
2022-02-02-6,28.35,16.82,138.75
2022-02-02-9,29.6,18.29,139.93
2022-02-02-12,27.76,16.41,141.97
2022-02-03-6,69.61,58.71,239.15
2022-02-03-9,100.17,85.21,238.26
2022-02-03-12,66.66,55.65,233.84
2022-02-03-15,56.61,55.98,212.15
2022-02-04-3,32.87,24.98,222.13
2022-02-04-6,79.68,62.72,225.7
2022-02-04-9,85.64,77.21,218.59
2022-02-04-12,85.9,64.64,239.45
2022-02-04-15,76.25,70.95,227.49
2022-02-05-6,20.72,18.88,53.27
2022-02-05-9,49.04,46.26,196.99
2022-02-05-12,39.55,40.55,160.26
2022-02-05-15,26.31,18.96,173.35
2022-02-07-3,22.37,15.44,202.76
2022-02-07-9,24.37,22.11,79.21
2022-02-07-12,17.89,15.4,55.92
2022-02-07-15,34.27,29.27,224.48
2022-02-08-3,29.3,22.87,223.89
2022-02-08-9,38.02,36.52,193.11
2022-02-08-12,40.57,41.9,85.22
2022-02-08-15,24.04,16.29,130.41
2022-02-09-3,32.12,28.37,205.1
2022-02-09-6,20.51,20.32,41.7
2022-02-10-3,33.84,31.79,77.12
2022-02-10-6,30.82,29.97,88.4
2022-02-10-9,44.07,38.38,219.42
2022-02-10-12,25.23,17.91,168.73
2022-02-10-15,92.84,93.04,239.45
2022-02-13-9,168.15,205.69,224.48
2022-02-13-15,87.77,98.01,239.45
2022-02-14-3,109.82,122.76,224.48
2022-02-14-6,122.68,125.75,239.45
2022-02-14-9,181.51,205.93,239.45
2022-02-14-12,157.23,158.86,239.45
2022-02-14-15,84.74,29.03,239.45
2022-02-21-6,59.17,24.77,249.07
2022-02-21-9,137.46,136.04,239.95
2022-02-21-12,137.79,121.75,231.68
2022-02-24-6,83.82,82.6,232.87
2022-02-24-9,55.74,51.66,224.48
2022-02-24-12,30.13,23.62,221.54
2022-02-25-6,132.99,148.13,249.07
2022-02-25-9,120.79,113.51,249.07
2022-02-25-12,86.14,59.24,239.45
2022-02-26-6,15.3,15.15,213.18
2022-02-26-9,21.84,21.29,224.48
2022-02-26-12,24.89,20.86,223.89
2022-02-27-6,133.82,155.78,249.07
2022-02-27-9,170.45,184.02,239.45
2022-02-27-12,98.01,88.64,217.12
2022-02-28-6,22.42,22.71,117.98
2022-02-28-9,113.47,101.61,249.07
2022-02-28-12,109.18,101.09,239.45
2022-03-01-6,76.09,46.16,235.76
2022-03-01-9,91.68,58.15,237.96
2022-03-01-12,119.64,112.21,223.01
2022-03-02-6,18.31,18.16,90.84
2022-03-02-9,87.23,71.2,236.76
2022-03-02-12,21.3,20.47,102.32
2022-03-03-6,19.19,18.32,227.42
2022-03-03-12,53.37,39.26,238.56
2022-03-04-6,63.58,39.75,249.07
2022-03-04-9,169.93,202.33,248.39
2022-03-04-12,100.4,80.05,240.3
2022-03-06-6,148.82,144.02,248.96
2022-03-06-9,187.27,207.16,239.45
2022-03-06-12,171.8,198.49,239.45
2022-03-07-6,39.51,32.52,216.41
2022-03-07-9,98.88,63.19,249.07
2022-03-07-12,190.54,209.55,239.45
2022-03-08-6,34.3,31.48,209.8
2022-03-08-9,77.27,55.54,248.84
2022-03-08-12,106.91,89.12,239.45
2022-03-09-6,43.76,45.56,224.48
2022-03-09-9,43.32,37.52,237.02
2022-03-09-12,86.14,77.09,222.95
2022-03-10-6,126.22,125.83,239.45
2022-03-10-9,137.06,137.17,239.45
2022-03-10-12,188.39,211.05,237.06
2022-03-11-6,173.85,200.96,239.45
2022-03-11-9,176.6,194.95,239.45
2022-03-11-12,133.65,136.22,239.45
2022-03-12-6,130.55,131.84,239.45
2022-03-12-9,108.13,101.92,239.45
2022-03-12-12,141.61,138.03,239.67
2022-03-13-6,79.16,70.7,230.18
2022-03-13-9,112.12,82.87,239.45
2022-03-14-6,107.21,107.88,224.48
2022-03-14-9,151.86,159.64,224.48
2022-03-14-12,74.73,70.12,224.48
2022-03-15-6,115.58,118.7,235.27
2022-03-15-9,98.81,92.21,239.45
2022-03-15-12,90.59,79.27,239.45
2022-03-16-6,115.69,93.39,235.27
2022-03-16-12,163.27,169.11,224.48
2022-03-17-6,116.38,110.9,235.27
2022-03-17-12,149.54,150.42,239.45
2022-03-18-6,109.91,106.75,224.48
2022-03-18-9,112.7,115.26,236.46
2022-09-31-6,41.35,28.25,237.06
2022-09-31-9,53.89,46.93,237.36
2022-09-31-12,54.14,48.18,220.95
2022-09-31-15,42.86,33.23,178.62
