segment,mean,median,max,sunlight_contamination,dark_segment
2014-01-01-0,0.0,0.0,0.0,0,1
2014-01-01-1,12.55,0.0,220.8,0,1
2014-01-01-2,12.43,9.2,222.13,0,1
2014-01-01-3,6.17,4.47,45.34,0,1
2014-01-01-4,5.95,3.85,58.64,0,1
2014-01-01-5,10.21,5.04,75.18,0,1
2014-01-01-6,14.14,9.48,93.18,0,1
2014-01-01-7,20.51,17.45,108.3,0,0
2014-01-01-8,53.03,47.99,206.09,0,0
2014-01-01-9,41.0,32.08,196.54,0,0
2014-01-01-10,93.27,95.37,200.81,0,0
2014-01-01-11,90.18,83.91,211.63,0,0
2014-01-01-12,107.02,106.12,198.39,0,0
2014-01-01-13,105.86,103.9,227.12,0,0
2014-01-01-14,72.5,49.45,229.28,0,0
2014-01-01-15,28.16,27.71,82.8,0,0
2014-01-01-16,19.12,17.66,54.87,0,0
2014-01-01-17,14.92,15.06,44.2,0,0
2014-01-01-18,13.86,0.0,58.12,0,1
2014-01-01-19,0.0,0.0,0.0,0,1
2014-01-01-20,0.0,0.0,0.0,0,1
2014-01-01-21,0.0,0.0,0.0,0,1
2014-01-01-22,0.0,0.0,0.0,0,1
2014-01-01-23,0.0,0.0,0.0,0,1
2014-01-02-0,0.0,0.0,0.0,0,1
2014-01-02-1,8.08,0.0,203.0,0,1
2014-01-02-2,16.05,13.92,219.78,0,1
2014-01-02-3,15.75,10.69,140.52,0,1
2014-01-02-4,21.55,16.41,129.31,0,0
2014-01-02-5,13.13,10.4,51.02,0,1
2014-01-02-6,20.54,16.89,91.59,0,0
2014-01-02-7,48.54,35.73,239.45,0,0
2014-01-02-8,43.46,40.9,207.37,0,0
2014-01-02-9,53.3,53.01,120.76,0,0
2014-01-02-10,46.03,48.04,81.84,0,0
2014-01-02-11,43.72,42.76,121.38,0,0
2014-01-02-12,59.27,53.78,176.15,0,0
2014-01-02-13,63.8,58.84,169.44,0,0
2014-01-02-14,36.42,38.08,71.26,0,0
2014-01-02-15,51.19,53.93,95.81,0,0
2014-01-02-16,35.45,36.83,75.27,0,0
2014-01-02-17,27.77,25.98,74.84,0,0
2014-01-02-18,13.19,0.0,73.65,0,1
2014-01-02-19,0.0,0.0,0.0,0,1
2014-01-02-20,0.0,0.0,0.0,0,1
2014-01-02-21,0.0,0.0,0.0,0,1
2014-01-02-22,0.0,0.0,0.0,0,1
2014-01-02-23,0.0,0.0,0.0,0,1
2014-01-03-0,0.0,0.0,0.0,0,1
2014-01-03-1,6.21,0.0,42.72,0,1
2014-01-03-2,12.25,10.84,44.32,0,1
2014-01-03-3,5.63,5.96,19.68,0,1
2014-01-03-4,4.16,4.17,21.18,0,1
2014-01-03-5,5.92,5.65,31.45,0,1
2014-01-03-6,17.88,14.81,100.98,0,1
2014-01-03-7,41.79,35.21,225.68,0,0
2014-01-03-8,50.27,44.38,196.03,0,0
2014-01-03-9,53.47,49.59,188.35,0,0
2014-01-03-10,66.19,55.24,220.32,0,0
2014-01-03-11,37.97,39.96,72.89,0,0
2014-01-03-12,43.67,41.79,145.97,0,0
2014-01-03-13,20.53,20.63,44.1,0,0
2014-01-03-14,12.78,12.75,31.82,0,1
2014-01-03-15,16.04,16.76,30.71,0,0
2014-01-03-16,36.38,33.25,97.64,0,0
2014-01-03-17,58.98,51.31,190.3,0,0
2014-01-03-18,16.39,0.0,152.51,0,1
