segment,mean,median,max,sunlight_contamination
2018-01-01-0,18.48,0.00,224.48,0
2018-01-01-3,11.18,9.47,32.02,1
2018-01-01-6,96.56,24.22,249.07,1
2018-01-01-9,195.45,220.46,249.07,1
2018-01-01-12,68.78,73.37,207.83,1
2018-01-01-15,21.33,18.13,104.67,0
2018-01-01-18,2.96,0.00,80.23,0
2018-01-01-21,0.00,0.00,0.00,0
2018-01-02-0,1.08,0.00,30.82,0
2018-01-02-3,7.80,6.34,24.19,1
2018-01-02-6,8.73,7.33,28.03,1
2018-01-02-9,70.89,23.68,249.07,1
2018-01-02-12,18.69,12.27,223.89,1
2018-01-02-15,15.60,12.76,34.25,1
2018-01-02-18,0.80,0.00,34.95,0
2018-01-02-21,0.00,0.00,0.00,0
2018-01-03-0,7.06,0.00,247.36,0
2018-01-03-3,13.92,13.78,33.52,0
2018-01-03-6,20.57,20.19,199.56,0
2018-01-03-9,31.71,27.80,223.71,1
2018-01-03-12,34.97,25.35,249.07,1
2018-01-03-15,24.12,20.16,133.70,0
2018-01-03-18,8.31,0.00,231.82,0
2018-01-03-21,0.00,0.00,0.00,0
2018-01-04-0,6.52,0.00,79.86,0
2018-01-04-3,12.03,10.21,28.18,0
2018-01-04-6,18.43,21.59,199.43,1
2018-01-04-9,8.52,6.90,26.64,1
2018-01-04-12,3.94,0.00,223.89,1
2018-01-04-15,0.00,0.00,0.00,0
2018-01-04-18,0.00,0.00,0.00,0
2018-01-04-21,0.00,0.00,0.00,0
2018-01-05-0,1.59,0.00,16.42,0
2018-01-05-3,6.08,6.25,15.64,0
2018-01-05-6,16.89,13.93,188.37,0
2018-01-05-9,18.58,14.52,171.28,0
2018-01-05-12,23.45,19.28,249.07,0
2018-01-05-15,21.15,17.44,248.50,0
2018-01-05-18,1.93,0.00,76.93,0
2018-01-05-21,0.00,0.00,0.00,0
2018-01-06-0,7.59,0.00,247.82,0
2018-01-06-3,5.61,5.09,25.48,0
2018-01-06-6,9.50,6.88,175.57,0
2018-01-06-9,15.12,10.80,179.11,0
2018-01-06-12,16.49,11.77,187.21,0
2018-01-06-15,18.10,13.77,248.62,0
2018-01-06-18,2.51,0.00,90.38,0
2018-01-06-21,0.00,0.00,0.00,0
2018-01-07-0,9.75,0.00,247.82,0
2018-01-07-3,6.82,6.22,26.76,0
2018-01-07-6,7.34,6.75,27.75,0
2018-01-07-9,8.17,7.06,101.00,0
2018-01-07-12,11.24,8.47,86.48,0
2018-01-07-15,16.81,12.37,247.93,0
2018-01-07-18,2.40,0.00,94.04,0
2018-01-07-21,0.00,0.00,0.00,0
2018-01-08-0,8.24,0.00,248.62,0
2018-01-08-3,7.09,6.45,26.42,0
