segment,mean,median,max,sunlight_contamination,dark_segment
2020-01-01-0,0.0,0.0,0.0,0,1
2020-01-01-1,22.26,22.0,90.1,0,0
2020-01-01-2,8.21,6.86,30.63,0,1
2020-01-01-3,4.95,5.35,11.64,0,1
2020-01-01-4,4.7,5.16,10.01,0,1
2020-01-01-5,4.01,4.28,7.86,0,1
2020-01-01-6,3.76,4.27,6.65,0,1
2020-01-01-7,4.09,4.45,12.3,0,1
2020-01-01-8,4.47,4.86,7.64,0,1
2020-01-01-9,5.28,5.45,12.11,0,1
2020-01-01-10,4.89,5.28,8.83,0,1
2020-01-01-11,3.95,4.37,7.62,0,1
2020-01-01-12,4.23,4.55,7.65,0,1
2020-01-01-13,4.82,5.27,9.13,0,1
2020-01-01-14,8.41,9.1,16.2,0,1
2020-01-01-15,6.65,6.85,12.69,0,1
2020-01-01-16,4.85,5.33,8.28,0,1
2020-01-01-17,14.47,8.68,73.47,0,1
2020-01-01-18,21.52,0.0,83.97,0,1
2020-01-01-19,0.0,0.0,0.0,0,1
2020-01-01-20,0.0,0.0,0.0,0,1
2020-01-01-21,0.0,0.0,0.0,0,1
2020-01-01-22,0.0,0.0,0.0,0,1
2020-01-01-23,0.0,0.0,0.0,0,1
2020-01-02-0,0.0,0.0,0.0,0,1
2020-01-02-1,33.66,20.64,140.79,0,0
2020-01-02-2,4.54,3.31,16.26,0,1
2020-01-02-3,1.79,1.9,10.89,0,1
2020-01-02-4,1.49,1.6,4.38,0,1
2020-01-02-5,1.82,2.01,3.61,0,1
2020-01-02-6,2.12,2.2,4.38,0,1
2020-01-02-7,2.58,2.79,4.86,0,1
2020-01-02-8,3.51,3.78,6.74,0,1
2020-01-02-9,2.61,2.66,6.44,0,1
2020-01-02-10,1.97,2.18,4.37,0,1
2020-01-02-11,1.95,2.08,5.87,0,1
2020-01-02-12,1.54,1.6,6.38,0,1
2020-01-02-13,1.79,1.9,13.66,0,1
2020-01-02-14,2.12,2.37,4.78,0,1
2020-01-02-15,2.75,2.96,5.96,0,1
2020-01-02-16,3.23,3.37,7.54,0,1
2020-01-02-17,7.99,5.88,54.39,0,1
2020-01-02-18,19.34,0.0,109.32,0,1
2020-01-02-19,0.0,0.0,0.0,0,1
2020-01-02-20,0.0,0.0,0.0,0,1
2020-01-02-21,0.0,0.0,0.0,0,1
2020-01-02-22,0.0,0.0,0.0,0,1
2020-01-02-23,0.0,0.0,0.0,0,1
2020-01-03-0,0.0,0.0,0.0,0,1
2020-01-03-1,13.39,6.05,53.08,0,1
2020-01-03-2,8.04,7.3,29.15,0,1
2020-01-03-3,6.03,6.29,12.27,0,1
2020-01-03-4,5.75,5.99,11.26,0,1
2020-01-03-5,5.77,5.99,11.66,0,1
2020-01-03-6,9.56,8.56,29.94,0,1
2020-01-03-7,14.91,15.07,30.15,0,0
2020-01-03-8,31.18,25.11,120.42,0,0
2020-01-03-9,74.6,71.59,201.03,0,0
2020-01-03-10,33.52,29.22,82.86,0,0
2020-01-03-11,7.54,7.74,16.94,0,1
2020-01-03-12,8.34,8.91,13.17,0,1
2020-01-03-13,8.29,8.82,25.82,0,1
2020-01-03-14,8.23,8.64,21.23,0,1
2020-01-03-15,10.08,10.11,18.54,0,1
2020-01-03-16,8.22,8.15,17.54,0,1
2020-01-03-17,16.91,9.36,223.89,0,1
2020-01-03-18,17.09,0.0,224.48,0,1
2020-01-03-19,0.0,0.0,0.0,0,1
2020-01-03-20,0.0,0.0,0.0,0,1
2020-01-03-21,0.0,0.0,0.0,0,1
2020-01-03-22,0.0,0.0,0.0,0,1
2020-01-03-23,0.0,0.0,0.0,0,1
2020-01-04-0,0.0,0.0,0.0,0,1
2020-01-04-1,18.44,0.0,128.17,0,1
2020-01-04-2,14.42,11.3,124.05,0,1
2020-01-04-3,7.72,7.88,20.71,0,1
2020-01-04-4,7.49,7.58,23.39,0,1
2020-01-04-5,7.69,7.87,25.37,0,1
2020-01-04-6,7.45,7.57,25.15,0,1
2020-01-04-7,6.96,6.86,24.43,0,1
2020-01-04-8,7.12,6.86,21.27,0,1
2020-01-04-9,6.54,6.28,16.63,0,1
2020-01-04-10,5.38,5.09,15.2,0,1
2020-01-04-11,24.34,13.22,87.95,0,1
2020-01-04-12,28.33,26.6,80.76,0,0
2020-01-04-13,10.22,10.33,32.11,0,1
2020-01-04-14,8.49,8.74,26.55,0,1
2020-01-04-15,13.89,13.02,51.96,0,1
2020-01-04-16,28.9,30.46,57.37,0,0
2020-01-04-17,34.82,27.81,213.91,0,0
2020-01-04-18,21.66,0.0,159.88,0,1
2020-01-04-19,0.0,0.0,0.0,0,1
2020-01-04-20,0.0,0.0,0.0,0,1
2020-01-04-21,0.0,0.0,0.0,0,1
2020-01-04-22,0.0,0.0,0.0,0,1
2020-01-04-23,0.0,0.0,0.0,0,1
2020-01-05-0,0.0,0.0,0.0,0,1
2020-01-05-1,10.93,0.0,72.19,0,1
2020-01-05-2,17.73,14.69,75.6,0,1
2020-01-05-3,13.0,12.33,31.32,0,1
2020-01-05-4,11.41,11.61,24.9,0,1
2020-01-05-5,12.66,13.2,26.44,0,1
2020-01-05-6,13.64,14.14,25.0,0,1
2020-01-05-7,13.94,14.46,24.56,0,1
2020-01-05-8,11.35,11.2,21.19,0,1
2020-01-05-9,10.09,9.9,22.27,0,1
