segment,mean,median,max,sunlight_contamination
2014-01-01-0,8.13,0.00,222.13,0
2014-01-01-3,7.46,4.17,75.18,0
2014-01-01-6,28.52,21.23,206.09,0
2014-01-01-9,75.32,68.36,211.63,0
2014-01-01-12,95.15,92.61,229.28,0
2014-01-01-15,20.71,18.83,82.80,0
2014-01-01-18,4.62,0.00,58.12,0
2014-01-01-21,0.00,0.00,0.00,0
2014-01-02-0,7.45,0.00,219.78,0
2014-01-02-3,16.60,12.72,140.52,0
2014-01-02-6,37.32,30.30,239.45,0
2014-01-02-9,47.68,47.68,121.38,0
2014-01-02-12,52.93,48.07,176.15,0
2014-01-02-15,38.25,36.31,95.81,0
2014-01-02-18,4.40,0.00,73.65,0
2014-01-02-21,0.00,0.00,0.00,0
2014-01-03-0,5.89,0.00,44.32,0
2014-01-03-3,5.23,5.35,31.45,0
2014-01-03-6,36.57,28.34,225.68,0
2014-01-03-9,52.50,46.89,220.32,0
2014-01-03-12,25.59,20.97,145.97,0
2014-01-03-15,36.93,26.82,190.30,0
2014-01-03-18,5.43,0.00,152.51,0
2014-01-03-21,0.00,0.00,0.00,0
2014-01-04-0,5.19,0.00,43.32,0
2014-01-04-3,4.36,4.47,21.89,0
2014-01-04-6,11.28,5.95,226.30,0
2014-01-04-9,34.43,27.53,196.45,0
2014-01-04-12,30.79,20.13,116.68,0
2014-01-04-15,10.66,6.57,93.60,0
2014-01-04-18,3.37,0.00,88.42,0
2014-01-04-21,0.00,0.00,0.00,0
2014-01-05-0,6.72,0.00,40.07,0
2014-01-05-3,1.79,1.49,20.89,0
2014-01-05-6,3.58,1.49,21.03,0
2014-01-05-9,2.66,2.38,12.76,0
2014-01-05-12,6.87,6.56,37.06,0
2014-01-05-15,9.49,5.65,80.56,0
2014-01-05-18,5.74,0.00,71.76,0
2014-01-05-21,0.00,0.00,0.00,0
2014-01-06-0,7.23,0.00,46.46,0
2014-01-06-3,5.48,5.94,24.23,0
2014-01-06-6,5.81,6.22,22.36,0
2014-01-06-9,5.20,4.44,23.86,0
2014-01-06-12,4.88,3.85,25.81,0
2014-01-06-15,11.70,5.95,80.86,0
2014-01-06-18,3.76,0.00,77.79,0
2014-01-06-21,0.00,0.00,0.00,0
2014-01-07-0,5.08,0.00,32.85,0
2014-01-07-3,10.83,10.71,246.11,0
2014-01-07-6,9.49,7.12,100.95,0
2014-01-07-9,13.86,8.26,161.07,0
2014-01-07-12,10.48,8.02,58.84,0
2014-01-07-15,44.08,32.37,246.91,0
2014-01-07-18,2.62,0.00,241.59,0
2014-01-07-21,0.00,0.00,0.00,0
2014-01-08-0,4.44,0.00,31.58,0
