segment,mean,median,max,sunlight_contamination,dark_segment
2018-01-01-0,0.0,0.0,0.0,0,1
2018-01-01-1,50.0,33.5,224.48,0,0
2018-01-01-2,14.34,10.84,54.56,1,1
2018-01-01-3,9.92,8.08,29.45,1,1
2018-01-01-4,11.28,9.28,32.02,1,1
2018-01-01-5,12.45,10.5,28.89,1,1
2018-01-01-6,13.64,11.43,34.73,1,1
2018-01-01-7,40.71,16.44,238.69,1,0
2018-01-01-8,151.27,205.54,249.07,1,0
2018-01-01-9,211.91,228.04,249.07,0,0
2018-01-01-10,177.15,204.05,233.86,1,0
2018-01-01-11,82.32,33.32,221.02,1,0
2018-01-01-12,19.76,17.91,59.21,1,0
2018-01-01-13,67.09,34.11,207.83,1,0
2018-01-01-14,75.95,79.68,155.72,0,0
2018-01-01-15,29.99,24.55,104.67,0,0
2018-01-01-16,16.09,14.23,51.02,0,1
2018-01-01-17,18.7,14.72,81.28,0,1
2018-01-01-18,8.99,0.0,80.23,0,1
2018-01-01-19,0.0,0.0,0.0,0,1
2018-01-01-20,0.0,0.0,0.0,0,1
2018-01-01-21,0.0,0.0,0.0,0,1
2018-01-01-22,0.0,0.0,0.0,0,1
2018-01-01-23,0.0,0.0,0.0,0,1
2018-01-02-0,0.0,0.0,0.0,0,1
2018-01-02-1,2.09,0.0,30.82,0,1
2018-01-02-2,6.33,4.67,27.7,1,1
2018-01-02-3,6.28,5.23,23.61,1,1
2018-01-02-4,8.54,7.01,23.61,1,1
2018-01-02-5,8.61,6.74,24.19,1,1
2018-01-02-6,8.26,6.86,25.79,1,1
2018-01-02-7,8.26,6.75,27.69,1,1
2018-01-02-8,9.67,8.31,28.03,1,1
2018-01-02-9,15.66,14.61,48.38,1,1
2018-01-02-10,29.41,21.85,108.13,1,0
2018-01-02-11,158.02,136.98,249.07,1,0
2018-01-02-12,32.56,16.35,223.89,1,0
2018-01-02-13,12.73,11.35,38.37,1,1
2018-01-02-14,11.32,9.62,27.55,1,1
2018-01-02-15,10.79,9.19,27.66,1,1
2018-01-02-16,7.52,5.98,27.46,1,1
2018-01-02-17,19.94,26.16,34.25,1,0
2018-01-02-18,2.84,0.0,34.95,0,1
2018-01-02-19,0.0,0.0,0.0,0,1
2018-01-02-20,0.0,0.0,0.0,0,1
2018-01-02-21,0.0,0.0,0.0,0,1
2018-01-02-22,0.0,0.0,0.0,0,1
2018-01-02-23,0.0,0.0,0.0,0,1
2018-01-03-0,0.0,0.0,0.0,0,1
2018-01-03-1,13.94,7.52,247.36,0,1
