segment,mean,median,max,sunlight_contamination
2017-01-01-0,7.04,0.00,35.31,0
2017-01-01-3,31.70,30.69,200.63,0
2017-01-01-6,20.43,19.55,95.68,0
2017-01-01-9,0.65,0.00,92.69,0
2017-01-01-12,0.00,0.00,0.00,0
2017-01-01-15,0.00,0.00,0.00,0
2017-01-01-18,0.00,0.00,0.00,0
2017-01-01-21,0.00,0.00,0.00,0
2017-01-02-0,2.67,0.00,234.68,0
2017-01-02-3,6.49,4.69,43.53,0
2017-01-02-6,29.33,12.52,239.45,0
2017-01-02-9,47.53,42.06,221.27,0
2017-01-02-12,112.05,112.97,239.15,0
2017-01-02-15,64.07,50.04,211.04,0
2017-01-02-18,3.12,0.00,101.23,0
2017-01-02-21,0.00,0.00,0.00,0
2017-01-03-0,6.62,0.00,221.82,0
2017-01-03-3,8.35,6.30,242.00,0
2017-01-03-6,19.54,14.25,160.44,0
2017-01-03-9,109.85,114.78,245.33,0
2017-01-03-12,50.69,43.04,176.18,0
2017-01-03-15,25.18,23.90,62.27,0
2017-01-03-18,3.57,0.00,60.02,0
2017-01-03-21,0.00,0.00,0.00,0
2017-01-04-0,7.93,0.00,42.76,0
2017-01-04-3,7.30,7.78,12.65,0
2017-01-04-6,9.93,9.53,31.38,0
2017-01-04-9,41.09,36.09,137.21,0
2017-01-04-12,28.34,25.85,78.43,0
2017-01-04-15,14.19,12.52,77.46,0
2017-01-04-18,2.57,0.00,69.33,0
2017-01-04-21,0.00,0.00,0.00,0
2017-01-05-0,7.51,0.00,37.06,0
2017-01-05-3,12.68,13.14,26.92,0
2017-01-05-6,10.67,10.14,28.74,0
2017-01-05-9,8.19,7.94,24.30,0
2017-01-05-12,40.85,37.12,110.99,0
2017-01-05-15,53.55,48.04,241.78,0
2017-01-05-18,6.86,0.00,136.30,0
2017-01-05-21,0.00,0.00,0.00,0
2017-01-06-0,6.39,0.00,41.55,0
2017-01-06-3,16.76,14.99,248.96,0
2017-01-06-6,33.66,25.75,222.71,0
2017-01-06-9,39.67,36.62,219.42,0
2017-01-06-12,61.96,51.15,195.85,0
2017-01-06-15,31.14,19.39,185.45,0
2017-01-06-18,6.08,0.00,167.65,0
2017-01-06-21,0.00,0.00,0.00,0
2017-01-07-0,4.96,0.00,32.20,0
2017-01-07-3,17.64,17.51,210.44,0
2017-01-07-6,41.77,29.13,248.84,0
2017-01-07-9,38.64,32.25,228.09,0
2017-01-07-12,64.83,60.19,205.02,0
2017-01-07-15,34.50,26.55,239.45,0
2017-01-07-18,6.13,0.00,153.16,0
2017-01-07-21,0.00,0.00,0.00,0
2017-01-08-0,6.01,0.00,244.49,0
2017-01-08-3,15.24,13.81,223.52,0
2017-01-08-6,39.92,31.23,249.07,0
2017-01-08-9,85.22,77.22,239.45,0
2017-01-08-12,51.80,45.34,242.72,0
2017-01-08-15,41.22,30.30,209.40,0
2017-01-08-18,2.56,0.00,117.56,0
2017-01-08-21,0.00,0.00,0.00,0
2017-01-09-0,3.81,0.00,184.68,0
2017-01-09-3,18.21,17.66,187.56,0
2017-01-09-6,24.54,21.29,249.07,0
2017-01-09-9,34.34,28.97,224.39,0
2017-01-09-12,56.44,50.76,193.64,0
2017-01-09-15,10.78,0.00,117.76,0
2017-01-09-18,0.00,0.00,0.00,0
2017-01-09-21,0.00,0.00,0.00,0
2017-01-10-0,6.71,0.00,248.96,0
2017-01-10-3,15.66,15.14,248.05,0
2017-01-10-6,22.47,20.99,240.75,0
2017-01-10-9,53.67,34.69,248.73,1
2017-01-10-12,36.27,27.14,113.85,0
2017-01-10-15,29.21,12.19,239.45,0
2017-01-10-18,3.95,0.00,238.86,0
2017-01-10-21,0.00,0.00,0.00,0
2017-01-11-0,9.77,0.00,247.13,0
2017-01-11-3,19.87,19.91,247.82,0
2017-01-11-6,28.52,25.20,215.36,0
2017-01-11-9,25.35,25.46,166.87,1
2017-01-11-12,25.91,24.51,92.76,0
2017-01-11-15,17.85,17.75,48.02,0
2017-01-11-18,1.55,0.00,47.65,0
2017-01-11-21,0.00,0.00,0.00,0
2017-01-13-0,0.27,0.00,22.53,0
2017-01-13-3,15.72,16.85,27.92,0
2017-01-13-6,8.86,7.32,27.90,1
2017-01-13-9,13.43,11.96,31.68,1
2017-01-13-12,37.40,31.14,95.39,1
2017-01-13-15,49.25,33.08,186.38,1
2017-01-13-18,2.88,0.00,224.48,0
2017-01-13-21,0.00,0.00,0.00,0
2017-01-14-0,4.13,0.00,41.49,0
2017-01-14-3,8.33,6.60,26.42,0
2017-01-14-6,16.89,19.23,30.75,0
2017-01-14-9,7.72,5.14,26.41,1
2017-01-14-12,7.82,5.44,26.06,1
2017-01-14-15,17.39,18.78,35.53,0
2017-01-14-18,0.53,0.00,34.94,0
2017-01-14-21,0.00,0.00,0.00,0
2017-01-15-0,4.51,0.00,38.42,0
2017-01-15-3,4.14,3.99,23.60,0
2017-01-15-6,14.47,14.39,63.25,0
2017-01-15-9,21.62,16.71,195.54,0
2017-01-15-12,35.37,24.48,248.96,0
2017-01-15-15,30.35,26.79,96.52,0
2017-01-15-18,0.40,0.00,41.84,0
2017-01-15-21,0.00,0.00,0.00,0
2017-01-16-0,4.50,0.00,36.42,0
