segment,mean,median,max,sunlight_contamination,dark_segment
2016-01-01-0,7.46,0.0,196.23,0,1
2016-01-01-3,70.14,43.68,239.45,0,0
2016-01-01-6,89.74,66.03,239.45,0,0
2016-01-01-9,80.41,54.54,239.45,0,0
2016-01-01-12,30.67,27.59,200.6,0,0
2016-01-01-15,15.84,14.02,249.07,0,1
2016-01-01-18,1.94,0.0,76.79,0,1
2016-01-01-21,0.0,0.0,0.0,0,1
2016-01-02-0,6.79,0.0,45.49,0,1
2016-01-02-3,2.72,2.09,23.33,0,1
2016-01-02-6,9.94,6.54,44.4,0,1
2016-01-02-9,61.92,51.06,216.66,0,0
2016-01-02-12,22.97,21.07,70.17,0,0
2016-01-02-15,21.04,20.85,70.79,0,0
2016-01-02-18,2.03,0.0,45.01,0,1
2016-01-02-21,0.0,0.0,0.0,0,1
2016-01-03-0,8.24,0.0,128.17,0,1
2016-01-03-3,4.98,4.47,23.53,0,1
2016-01-03-6,10.94,8.62,151.24,0,1
2016-01-03-9,7.59,5.05,53.72,0,1
2016-01-03-12,13.84,10.96,56.11,0,1
2016-01-03-15,0.0,0.0,0.0,0,1
2016-01-03-18,0.0,0.0,0.0,0,1
2016-01-03-21,0.0,0.0,0.0,0,1
2016-01-04-0,9.18,0.0,248.27,0,1
2016-01-04-3,4.18,3.57,21.66,0,1
2016-01-04-6,10.92,7.13,106.43,0,1
2016-01-04-9,7.0,4.76,49.27,0,1
2016-01-04-12,6.92,6.25,24.71,0,1
2016-01-04-15,8.27,5.97,40.9,0,1
2016-01-04-18,1.0,0.0,40.17,0,1
2016-01-04-21,0.0,0.0,0.0,0,1
2016-01-05-0,1.16,0.0,25.11,0,1
2016-01-05-3,5.1,4.77,23.06,0,1
2016-01-05-6,5.98,5.67,23.65,0,1
2016-01-05-9,15.55,15.75,171.29,0,0
2016-01-05-12,8.25,7.75,26.12,0,1
2016-01-05-15,9.23,6.86,42.84,0,1
2016-01-05-18,1.44,0.0,42.2,0,1
2016-01-05-21,0.0,0.0,0.0,0,1
2016-01-06-0,7.91,0.0,247.48,0,1
2016-01-06-3,9.2,6.25,59.93,0,1
2016-01-06-6,49.27,22.6,239.45,0,0
2016-01-06-9,111.97,108.18,244.97,0,0
2016-01-06-12,37.08,30.66,199.64,0,0
2016-01-06-15,25.74,21.42,100.39,0,0
2016-01-06-18,1.41,0.0,44.38,0,1
2016-01-06-21,0.0,0.0,0.0,0,1
2016-01-07-0,8.77,0.0,247.02,0,1
2016-01-07-3,4.8,2.98,42.06,0,1
2016-01-07-6,24.74,12.45,235.56,0,1
2016-01-07-9,68.99,40.25,249.07,0,0
2016-01-07-12,44.44,37.47,193.18,0,0
2016-01-07-15,23.72,21.24,130.41,0,0
