segment,mean,median,max,sunlight_contamination
2015-01-01-0,2.91,0.00,58.05,0
2015-01-01-3,15.34,18.82,27.61,1
2015-01-01-6,25.97,11.63,248.62,1
2015-01-01-9,18.07,18.40,60.35,1
2015-01-01-12,20.00,19.55,45.86,0
2015-01-01-15,13.25,8.43,120.30,0
2015-01-01-18,5.12,0.00,114.93,0
2015-01-01-21,0.00,0.00,0.00,0
2015-01-02-0,5.45,0.00,46.01,0
2015-01-02-3,19.66,20.55,41.89,0
2015-01-02-6,32.57,20.46,248.39,0
2015-01-02-9,79.18,77.98,248.73,0
2015-01-02-12,122.63,123.33,248.62,0
2015-01-02-15,41.41,24.34,197.70,0
2015-01-02-18,1.46,0.00,60.56,0
2015-01-02-21,0.00,0.00,0.00,0
2015-01-03-0,4.58,0.00,70.83,0
2015-01-03-3,22.70,24.42,47.47,1
2015-01-03-6,69.01,55.49,246.45,1
2015-01-03-9,131.38,138.87,249.07,1
2015-01-03-12,50.01,44.52,198.52,0
2015-01-03-15,15.37,12.85,58.69,0
2015-01-03-18,1.57,0.00,57.57,0
2015-01-03-21,0.00,0.00,0.00,0
2015-01-04-0,7.07,0.00,247.46,0
2015-01-04-3,16.12,16.23,92.84,0
2015-01-04-6,88.67,70.86,248.96,0
2015-01-04-9,163.73,170.40,249.07,0
2015-01-04-12,138.50,138.83,249.07,0
2015-01-04-15,133.05,142.18,249.07,0
2015-01-04-18,2.32,0.00,245.29,0
2015-01-04-21,0.00,0.00,0.00,0
2015-01-05-0,3.83,0.00,36.25,0
2015-01-05-3,24.02,20.65,248.73,0
2015-01-05-6,61.27,40.75,248.96,1
2015-01-05-9,130.61,136.75,249.07,1
2015-01-05-12,61.40,63.48,236.52,1
2015-01-05-15,23.29,19.29,99.89,0
2015-01-05-18,1.50,0.00,64.87,0
2015-01-05-21,0.00,0.00,0.00,0
2015-01-06-0,7.30,0.00,247.02,0
2015-01-06-3,19.98,16.82,242.69,0
2015-01-06-6,56.19,33.15,249.07,0
2015-01-06-9,120.86,104.54,249.07,0
2015-01-06-12,53.25,30.21,248.96,1
2015-01-06-15,66.69,71.09,197.35,0
2015-01-06-18,4.63,0.00,186.21,0
2015-01-06-21,0.00,0.00,0.00,0
2015-01-07-0,5.03,0.00,243.26,0
2015-01-07-3,7.66,6.57,25.79,0
2015-01-07-6,23.50,12.36,249.07,0
2015-01-07-9,149.90,174.28,249.07,0
2015-01-07-12,86.65,28.75,249.07,1
2015-01-07-15,24.49,26.36,104.47,1
2015-01-07-18,0.44,0.00,41.33,0
2015-01-07-21,0.00,0.00,0.00,0
2015-01-08-0,6.07,0.00,248.16,0
2015-01-08-3,15.04,8.89,215.17,0
2015-01-08-6,35.84,23.15,246.57,0
2015-01-08-9,52.07,41.21,208.74,0
2015-01-08-12,59.88,59.38,248.27,1
2015-01-08-15,45.60,37.65,218.29,0
2015-01-08-18,1.00,0.00,51.02,0
2015-01-08-21,0.00,0.00,0.00,0
2015-01-09-0,5.47,0.00,54.82,0
2015-01-09-3,5.36,5.07,24.98,0
2015-01-09-6,15.34,8.35,137.63,0
2015-01-09-9,26.27,26.34,114.48,1
2015-01-09-12,73.37,78.07,232.87,0
2015-01-09-15,22.09,21.96,224.57,0
2015-01-09-18,2.32,0.00,58.52,0
2015-01-09-21,0.00,0.00,0.00,0
2015-01-10-0,4.62,0.00,33.25,0
2015-01-10-3,2.19,2.09,23.87,0
2015-01-10-6,9.37,5.96,52.41,0
2015-01-10-9,47.80,30.12,164.27,0
2015-01-10-12,69.31,71.47,138.90,0
2015-01-10-15,46.34,45.84,219.81,0
2015-01-10-18,0.69,0.00,56.46,0
2015-01-10-21,0.00,0.00,0.00,0
2015-01-11-0,5.44,0.00,40.23,0
2015-01-11-3,2.44,2.39,8.67,0
2015-01-11-6,35.76,29.12,182.17,0
2015-01-11-9,61.83,54.65,178.84,0
2015-01-11-12,58.04,58.45,198.36,0
2015-01-11-15,33.43,34.49,68.50,0
2015-01-11-18,0.85,0.00,53.70,0
2015-01-11-21,0.00,0.00,0.00,0
2015-01-12-0,4.38,0.00,33.08,0
2015-01-12-3,4.28,4.47,20.60,0
2015-01-12-6,5.19,5.35,13.06,0
2015-01-12-9,18.26,10.35,89.85,0
2015-01-12-12,85.20,87.07,198.21,0
2015-01-12-15,49.46,50.45,111.57,0
2015-01-12-18,1.58,0.00,97.50,0
2015-01-12-21,0.00,0.00,0.00,0
2015-01-13-0,5.15,0.00,238.92,0
2015-01-13-3,7.46,6.52,33.21,0
2015-01-13-6,9.84,7.70,61.19,0
2015-01-13-9,28.65,13.05,190.94,0
2015-01-13-12,84.74,81.43,234.55,0
2015-01-13-15,26.40,21.56,160.24,0
2015-01-13-18,1.75,0.00,69.40,0
2015-01-13-21,0.00,0.00,0.00,0
2015-01-14-0,4.78,0.00,33.08,0
2015-01-14-3,6.29,6.54,23.53,0
2015-01-14-6,10.33,8.03,120.99,0
2015-01-14-9,39.94,32.34,223.83,0
2015-01-14-12,57.16,49.74,214.00,0
2015-01-14-15,15.85,12.77,48.57,0
2015-01-14-18,0.68,0.00,37.84,0
2015-01-14-21,0.00,0.00,0.00,0
2015-01-15-0,5.34,0.00,37.95,0
2015-01-15-3,4.61,4.47,22.95,0
2015-01-15-6,26.74,11.30,238.58,0
2015-01-15-9,30.95,22.22,188.05,0
2015-01-15-12,61.07,62.60,157.77,0
2015-01-15-15,14.32,13.64,39.58,0
2015-01-15-18,0.10,0.00,23.76,0
2015-01-15-21,0.00,0.00,0.00,0
2015-01-16-0,5.51,0.00,43.06,0
2015-01-16-3,6.45,6.56,21.47,0
2015-01-16-6,13.51,11.87,44.81,0
2015-01-16-9,32.97,24.10,160.17,0
2015-01-16-12,39.49,36.03,166.29,0
2015-01-16-15,11.38,9.82,37.23,0
2015-01-16-18,0.10,0.00,18.13,0
2015-01-16-21,0.00,0.00,0.00,0
2015-01-17-0,6.25,0.00,68.06,0
2015-01-17-3,7.40,6.82,36.73,0
2015-01-17-6,8.44,6.25,37.58,0
2015-01-17-9,33.71,22.47,225.86,0
2015-01-17-12,10.25,8.02,166.45,0
2015-01-17-15,14.16,8.24,96.53,0
2015-01-17-18,0.13,0.00,26.19,0
2015-01-17-21,0.00,0.00,0.00,0
2015-01-18-0,4.44,0.00,31.96,0
2015-01-18-3,5.83,5.35,24.71,0
2015-01-18-6,4.92,4.74,22.95,0
2015-01-18-9,8.96,5.05,215.13,0
2015-01-18-12,11.66,6.20,123.01,0
2015-01-18-15,0.00,0.00,0.00,0
2015-01-18-18,0.00,0.00,0.00,0
2015-01-18-21,0.00,0.00,0.00,0
2015-01-19-0,0.00,0.00,0.00,0
2015-01-19-3,1.82,0.00,11.62,0
2015-01-19-6,4.06,4.19,19.23,0
2015-01-19-9,9.25,7.17,36.83,0
2015-01-19-12,10.46,8.63,31.12,0
2015-01-19-15,13.34,12.33,40.46,0
2015-01-19-18,0.00,0.00,0.00,0
2015-01-19-21,0.00,0.00,0.00,0
2015-01-20-0,4.76,0.00,35.00,0
2015-01-20-3,7.54,6.53,28.15,0
2015-01-20-6,11.83,6.26,211.34,0
2015-01-20-9,41.85,27.58,221.34,0
2015-01-20-12,9.39,5.35,69.42,0
2015-01-20-15,12.92,5.94,123.07,0
2015-01-20-18,0.00,0.00,0.00,0
2015-01-20-21,0.00,0.00,0.00,0
2015-01-21-0,3.94,0.00,32.36,0
2015-01-21-3,4.70,4.47,23.13,0
2015-01-21-6,3.36,3.28,20.89,0
2015-01-21-9,14.55,11.61,96.16,0
2015-01-21-12,53.77,38.95,248.27,0
2015-01-21-15,60.64,57.12,151.64,0
2015-01-21-18,0.00,0.00,0.00,0
2015-01-21-21,0.00,0.00,0.00,0
2015-01-22-0,3.39,0.00,36.85,0
2015-01-22-3,15.53,15.73,42.32,0
2015-01-22-6,12.27,12.14,36.55,0
2015-01-22-9,70.25,52.83,249.07,0
2015-01-22-12,68.90,65.44,190.82,0
2015-01-22-15,13.05,10.35,51.94,0
2015-01-22-18,0.00,0.00,0.00,0
2015-01-22-21,0.00,0.00,0.00,0
2015-01-23-0,3.07,0.00,32.72,0
2015-01-23-3,6.04,5.66,20.54,0
2015-01-23-6,6.80,5.95,24.70,0
