segment,mean,median,max,sunlight_contamination
2013-01-01-0,0.00,0.00,0.00,0
2013-01-01-1,18.99,5.63,246.11,0
2013-01-01-2,8.53,5.67,243.49,0
2013-01-01-3,4.05,3.28,17.91,0
2013-01-01-4,3.47,2.97,14.31,0
2013-01-01-5,3.52,2.69,22.36,0
2013-01-01-6,7.02,6.86,23.65,0
2013-01-01-7,9.66,9.54,24.33,0
2013-01-01-8,11.44,11.03,24.03,0
2013-01-01-9,17.61,20.08,25.73,1
2013-01-01-10,14.45,19.81,26.43,1
2013-01-01-11,10.60,4.78,26.32,1
2013-01-01-12,8.83,3.53,26.21,1
2013-01-01-13,16.10,18.23,25.85,0
2013-01-01-14,14.46,14.83,24.80,0
2013-01-01-15,14.97,15.62,24.92,0
2013-01-01-16,15.39,16.48,26.57,0
2013-01-01-17,13.13,13.01,37.84,0
2013-01-01-18,15.68,0.00,64.02,0
2013-01-01-19,0.00,0.00,0.00,0
2013-01-01-20,0.00,0.00,0.00,0
2013-01-01-21,0.00,0.00,0.00,0
2013-01-01-22,0.00,0.00,0.00,0
2013-01-01-23,0.00,0.00,0.00,0
2013-01-02-0,0.00,0.00,0.00,0
2013-01-02-1,16.84,1.74,60.47,0
2013-01-02-2,7.59,6.56,27.27,0
2013-01-02-3,3.18,2.98,21.77,0
2013-01-02-4,1.92,1.79,21.18,0
2013-01-02-5,2.05,1.79,20.60,0
2013-01-02-6,2.77,2.69,21.30,0
2013-01-02-7,5.19,5.07,22.36,0
2013-01-02-8,9.55,9.52,23.30,0
2013-01-02-9,18.52,19.87,35.37,0
2013-01-02-10,26.48,26.18,63.46,0
2013-01-02-11,19.53,17.66,46.52,0
2013-01-02-12,23.82,24.38,78.96,1
2013-01-02-13,61.34,55.31,184.79,0
2013-01-02-14,66.05,67.27,147.15,0
2013-01-02-15,35.21,38.15,202.60,0
2013-01-02-16,17.55,18.57,40.62,0
2013-01-02-17,19.14,19.07,54.71,0
2013-01-02-18,4.41,0.00,52.66,0
2013-01-02-19,0.00,0.00,0.00,0
2013-01-02-20,0.00,0.00,0.00,0
2013-01-02-21,0.00,0.00,0.00,0
2013-01-02-22,0.00,0.00,0.00,0
2013-01-02-23,0.00,0.00,0.00,0
2013-01-03-0,0.00,0.00,0.00,0
