segment,mean,median,max,sunlight_contamination,dark_segment
2021-01-01-0,9.18,0.6,127.3,0,1
2021-01-01-3,9.6,8.47,30.7,0,1
2021-01-01-6,19.85,17.74,247.82,0,0
2021-01-01-9,20.08,21.26,30.0,0,0
2021-01-01-12,20.2,21.57,35.48,0,0
2021-01-01-15,19.99,20.94,33.81,0,0
2021-01-01-18,0.54,0.0,33.91,0,1
2021-01-01-21,0.0,0.0,0.0,0,1
2021-01-02-0,8.51,0.0,123.78,0,1
2021-01-02-3,5.49,4.99,25.78,0,1
2021-01-02-6,12.83,10.66,248.27,0,1
2021-01-02-9,14.05,13.26,248.84,0,1
2021-01-02-12,10.01,10.07,27.79,0,1
2021-01-02-15,12.55,9.4,137.79,0,1
2021-01-02-18,3.14,0.0,143.61,0,1
2021-01-02-21,0.0,0.0,0.0,0,1
2021-01-03-0,8.33,0.0,127.3,0,1
2021-01-03-3,3.2,3.32,16.9,0,1
2021-01-03-6,9.11,8.01,27.12,0,1
2021-01-03-9,15.45,16.69,224.23,0,0
2021-01-03-12,17.37,20.13,28.22,0,0
2021-01-03-15,19.79,20.07,61.91,0,0
2021-01-03-18,2.1,0.0,55.52,0,1
2021-01-03-21,0.0,0.0,0.0,0,1
2021-01-04-0,8.98,0.0,104.68,0,1
2021-01-04-3,2.75,3.02,16.08,0,1
2021-01-04-6,5.86,4.58,27.16,0,1
2021-01-04-9,16.11,15.97,34.63,0,0
2021-01-04-12,10.29,8.7,28.75,0,1
2021-01-04-15,9.68,5.99,224.48,0,1
2021-01-04-18,4.68,0.0,223.89,0,1
2021-01-04-21,0.0,0.0,0.0,0,1
2021-01-05-0,8.76,0.0,127.3,0,1
2021-01-05-3,2.71,2.79,19.66,0,1
2021-01-05-6,3.16,3.39,10.05,0,1
2021-01-05-9,6.55,5.33,248.16,0,1
2021-01-05-12,47.15,25.13,227.27,0,0
2021-01-05-15,28.02,25.43,222.71,0,0
2021-01-05-18,3.42,0.0,159.3,0,1
2021-01-05-21,0.0,0.0,0.0,0,1
2021-01-06-0,8.91,0.0,126.41,0,1
2021-01-06-3,9.74,5.45,60.23,0,1
2021-01-06-6,32.51,34.46,117.19,0,0
2021-01-06-9,89.36,83.32,243.26,0,0
2021-01-06-12,53.04,40.31,186.46,0,0
2021-01-06-15,31.15,22.47,222.13,0,0
2021-01-06-18,4.9,0.0,223.48,0,1
2021-01-06-21,0.0,0.0,0.0,0,1
2021-01-07-0,9.21,0.0,128.17,0,1
2021-01-07-3,4.15,4.55,21.54,0,1
2021-01-07-6,4.97,4.85,12.1,0,1
2021-01-07-9,10.83,8.52,36.46,0,1
2021-01-07-12,6.58,6.15,22.7,0,1
2021-01-07-15,9.81,5.99,220.95,0,1
2021-01-07-18,4.15,0.0,155.36,0,1
2021-01-07-21,0.0,0.0,0.0,0,1
2021-01-08-0,8.28,0.0,75.61,0,1
2021-01-08-3,3.81,4.27,12.95,0,1
2021-01-08-6,3.8,4.28,9.63,0,1
2021-01-08-9,3.55,3.97,8.78,0,1
2021-01-08-12,3.0,3.38,6.37,0,1
2021-01-08-15,8.01,4.42,160.06,0,1
2021-01-08-18,5.52,0.0,161.06,0,1
2021-01-08-21,0.0,0.0,0.0,0,1
2021-01-09-0,8.65,0.0,129.35,0,1
2021-01-09-3,4.14,4.49,22.46,0,1
2021-01-09-6,3.89,4.26,23.01,0,1
2021-01-09-9,4.81,5.07,10.89,0,1
2021-01-09-12,3.15,3.37,23.02,0,1
2021-01-09-15,7.38,5.45,69.04,0,1
2021-01-09-18,5.2,0.0,79.59,0,1
2021-01-09-21,0.0,0.0,0.0,0,1
2021-01-10-0,9.55,0.0,65.0,0,1
2021-01-10-3,5.5,5.94,18.64,0,1
2021-01-10-6,5.24,5.75,36.19,0,1
2021-01-10-9,7.24,6.75,22.27,0,1
2021-01-10-12,11.18,10.99,23.86,0,1
2021-01-10-15,10.94,7.16,222.13,0,1
2021-01-10-18,3.43,0.0,223.89,0,1
2021-01-10-21,0.0,0.0,0.0,0,1
2021-01-11-0,10.19,0.0,130.23,0,1
2021-01-11-3,6.13,6.46,22.02,0,1
2021-01-11-6,6.33,6.92,12.43,0,1
2021-01-11-9,10.62,10.4,28.28,0,1
2021-01-11-12,34.21,32.19,92.9,0,0
2021-01-11-15,58.0,48.95,178.23,0,0
2021-01-11-18,2.33,0.0,61.1,0,1
2021-01-11-21,0.0,0.0,0.0,0,1
2021-01-12-0,12.36,0.0,127.17,0,1
2021-01-12-3,11.43,7.46,60.86,0,1
2021-01-12-6,12.5,10.01,57.96,0,1
2021-01-12-9,42.49,36.89,195.02,0,0
2021-01-12-12,19.45,18.46,57.42,0,0
2021-01-12-15,11.8,7.0,222.13,0,1
2021-01-12-18,2.81,0.0,222.19,0,1
2021-01-12-21,0.0,0.0,0.0,0,1
2021-01-13-0,8.36,0.0,128.76,0,1
2021-01-13-3,4.53,4.85,22.02,0,1
2021-01-13-6,5.45,5.46,18.45,0,1
2021-01-13-9,41.29,43.99,133.09,0,0
2021-01-13-12,46.53,38.14,194.69,0,0
2021-01-13-15,14.42,9.12,223.3,0,1
2021-01-13-18,2.31,0.0,219.84,0,1
2021-01-13-21,0.0,0.0,0.0,0,1
2021-01-14-0,8.14,0.0,129.94,0,1
2021-01-14-3,6.02,6.34,22.52,0,1
2021-01-14-6,4.76,4.86,15.9,0,1
2021-01-14-9,4.63,4.68,10.24,0,1
2021-01-14-12,3.84,3.79,20.8,0,1
2021-01-14-15,11.37,5.75,222.71,0,1
2021-01-14-18,1.93,0.0,223.77,0,1
2021-01-14-21,0.0,0.0,0.0,0,1
2021-01-15-0,8.47,0.0,131.41,0,1
2021-01-15-3,4.34,4.58,18.67,0,1
2021-01-15-6,4.15,4.39,10.4,0,1
2021-01-15-9,4.17,4.58,9.09,0,1
2021-01-15-12,2.63,2.61,7.9,0,1
2021-01-15-15,8.18,3.79,42.57,0,1
2021-01-15-18,0.28,0.0,22.22,0,1
2021-01-15-21,0.0,0.0,0.0,0,1
2021-01-16-0,6.37,0.0,86.74,0,1
2021-01-16-3,3.84,3.99,19.75,0,1
2021-01-16-6,3.78,3.98,9.14,0,1
2021-01-16-9,3.41,3.5,8.36,0,1
2021-01-16-12,3.81,3.98,23.53,0,1
2021-01-16-15,8.95,4.45,136.75,0,1
2021-01-16-18,0.03,0.0,11.55,0,1
2021-01-16-21,0.0,0.0,0.0,0,1
2021-01-17-0,7.5,0.0,128.47,0,1
2021-01-17-3,4.33,4.39,17.17,0,1
2021-01-17-6,3.6,3.68,11.95,0,1
2021-01-17-9,4.04,4.09,9.67,0,1
2021-01-17-12,3.94,4.09,23.27,0,1
2021-01-17-15,8.41,4.69,44.47,0,1
2021-01-17-18,0.0,0.0,0.0,0,1
2021-01-17-21,0.0,0.0,0.0,0,1
2021-01-18-0,7.47,0.0,103.79,0,1
2021-01-18-3,3.84,3.92,21.66,0,1
2021-01-18-6,4.28,4.28,13.06,0,1
2021-01-18-9,4.29,4.38,9.56,0,1
2021-01-18-12,5.07,5.45,20.8,0,1
2021-01-18-15,11.41,5.4,137.58,0,1
2021-01-18-18,2.21,0.0,224.48,0,1
2021-01-18-21,0.0,0.0,0.0,0,1
2021-01-19-0,7.44,0.0,87.66,0,1
2021-01-19-3,5.64,5.76,20.24,0,1
2021-01-19-6,4.78,4.98,10.79,0,1
2021-01-19-9,11.86,9.12,47.2,0,1
2021-01-19-12,22.08,14.95,105.28,0,1
2021-01-19-15,7.93,4.41,45.04,0,1
2021-01-19-18,0.0,0.0,0.0,0,1
2021-01-19-21,0.0,0.0,0.0,0,1
2021-01-20-0,4.59,0.0,38.12,0,1
2021-01-20-3,7.89,8.15,15.91,0,1
2021-01-20-6,20.53,11.99,98.38,0,1
2021-01-20-9,64.29,56.45,226.85,0,0
2021-01-20-12,37.74,35.49,122.17,0,0
2021-01-20-15,19.93,16.91,148.14,0,0
2021-01-20-18,0.0,0.0,0.0,0,1
2021-01-20-21,0.0,0.0,0.0,0,1
2021-01-21-0,3.42,0.0,33.21,0,1
2021-01-21-3,8.2,6.17,26.1,0,1
2021-01-21-6,4.74,4.8,23.38,0,1
2021-01-21-9,4.27,4.09,20.6,0,1
2021-01-21-12,2.68,2.61,24.1,0,1
2021-01-21-15,9.43,3.32,125.29,0,1
2021-01-21-18,0.0,0.0,0.0,0,1
2021-01-21-21,0.0,0.0,0.0,0,1
2021-01-22-0,5.59,0.0,124.24,0,1
2021-01-22-3,6.95,6.94,28.35,0,1
2021-01-22-6,7.97,7.5,24.65,0,1
2021-01-22-9,9.15,9.44,22.27,0,1
2021-01-22-12,4.06,4.28,18.92,0,1
2021-01-22-15,8.92,5.32,50.0,0,1
2021-01-22-18,0.0,0.0,0.0,0,1
2021-01-22-21,0.0,0.0,0.0,0,1
2021-01-23-0,4.61,0.0,122.28,0,1
2021-01-23-3,12.12,11.32,29.41,0,1
2021-01-23-6,10.55,9.3,31.99,0,1
2021-01-23-9,21.87,21.72,49.59,0,0
2021-01-23-12,8.84,7.17,248.96,0,1
2021-01-23-15,9.03,4.69,145.14,0,1
2021-01-23-18,0.0,0.0,0.0,0,1
2021-01-23-21,0.0,0.0,0.0,0,1
2021-01-24-0,3.32,0.0,88.03,0,1
2021-01-24-3,15.26,14.7,32.24,0,1
2021-01-24-6,13.37,13.7,30.24,0,1
2021-01-24-9,11.12,11.0,34.09,0,1
2021-01-24-12,20.29,17.15,248.39,0,0
2021-01-24-15,15.87,12.71,145.14,0,1
2021-01-24-18,0.0,0.0,0.0,0,1
2021-01-24-21,0.0,0.0,0.0,0,1
2021-01-25-0,0.97,0.0,220.61,0,1
2021-01-25-3,19.11,22.34,220.95,1,0
2021-01-25-6,127.01,132.14,249.07,0,0
2021-01-25-9,87.06,59.81,248.84,0,0
2021-01-25-12,75.09,68.7,249.07,0,0
2021-01-25-15,48.87,43.94,182.26,0,0
2021-01-25-18,0.0,0.0,0.0,0,1
2021-01-25-21,0.0,0.0,0.0,0,1
2021-01-26-0,2.58,0.0,40.96,0,1
2021-01-26-3,30.37,28.37,249.07,0,0
2021-01-26-6,22.13,23.06,39.85,0,0
2021-01-26-9,35.1,31.87,200.64,0,0
