segment,mean,median,max,sunlight_contamination,dark_segment
2022-01-08-0,0.0,0.0,0.0,0,1
2022-01-08-1,0.0,0.0,0.0,0,1
2022-01-08-2,0.0,0.0,0.0,0,1
2022-01-08-3,0.0,0.0,0.0,0,1
2022-01-08-4,0.0,0.0,0.0,0,1
2022-01-08-5,0.0,0.0,0.0,0,1
2022-01-08-6,0.0,0.0,0.0,0,1
2022-01-08-7,0.0,0.0,0.0,0,1
2022-01-08-8,0.0,0.0,0.0,0,1
2022-01-08-9,0.0,0.0,0.0,0,1
2022-01-08-10,0.0,0.0,0.0,0,1
2022-01-08-11,0.0,0.0,0.0,0,1
2022-01-08-12,0.0,0.0,0.0,0,1
2022-01-08-13,0.0,0.0,0.0,0,1
2022-01-08-14,0.0,0.0,0.0,0,1
2022-01-08-15,0.0,0.0,0.0,0,1
2022-01-08-16,0.0,0.0,0.0,0,1
2022-01-08-17,0.0,0.0,0.0,0,1
2022-01-08-18,0.0,0.0,0.0,0,1
2022-01-08-19,0.0,0.0,0.0,0,1
2022-01-08-20,0.0,0.0,0.0,0,1
2022-01-08-21,0.0,0.0,0.0,0,1
2022-01-08-22,0.0,0.0,0.0,0,1
2022-01-08-23,0.0,0.0,0.0,0,1
2022-01-13-0,0.0,0.0,0.0,0,1
2022-01-13-1,2.4,0.0,127.37,0,1
2022-01-13-2,23.86,10.97,136.99,0,1
2022-01-13-3,18.47,2.69,136.09,0,1
2022-01-13-4,11.34,0.71,136.99,0,1
2022-01-13-5,11.98,2.22,135.98,0,1
2022-01-13-6,8.6,0.3,131.49,0,1
2022-01-13-7,9.83,1.7,244.51,0,1
2022-01-13-8,19.6,4.35,248.96,0,1
2022-01-13-9,9.63,2.68,133.98,0,1
2022-01-13-10,7.39,0.3,133.68,0,1
2022-01-13-11,8.22,0.6,132.97,0,1
2022-01-13-12,10.14,0.11,137.58,0,1
2022-01-13-13,17.51,4.61,132.04,0,1
2022-01-13-14,20.35,3.68,136.99,0,1
2022-01-13-15,20.66,5.15,136.99,0,1
2022-01-13-16,21.09,3.47,137.58,0,1
2022-01-13-17,26.55,15.62,136.69,0,0
2022-01-13-18,5.0,0.0,129.1,0,1
2022-01-13-19,0.0,0.0,0.0,0,1
2022-01-13-20,0.0,0.0,0.0,0,1
2022-01-13-21,0.0,0.0,0.0,0,1
2022-01-13-22,0.0,0.0,0.0,0,1
2022-01-13-23,0.0,0.0,0.0,0,1
2022-01-14-0,0.0,0.0,0.0,0,1
2022-01-14-1,14.45,0.0,204.52,0,1
2022-01-14-2,24.76,10.57,136.69,0,1
2022-01-14-3,9.37,1.2,136.99,0,1
2022-01-14-4,7.8,1.19,138.15,0,1
2022-01-14-5,7.6,1.2,139.34,0,1
2022-01-14-6,7.43,1.79,92.27,0,1
2022-01-14-7,12.84,11.95,91.19,0,1
2022-01-14-8,17.48,17.52,35.1,0,0
2022-01-14-9,12.65,11.09,93.77,0,1
2022-01-14-10,10.9,5.27,137.85,0,1
2022-01-14-11,19.81,8.77,139.93,0,1
2022-01-14-12,22.32,12.05,137.87,0,1
2022-01-14-13,13.62,3.5,139.63,0,1
2022-01-14-14,21.11,11.04,145.98,0,1
2022-01-14-15,22.04,11.85,142.85,0,1
2022-01-14-16,23.38,13.06,146.96,0,1
2022-01-14-17,35.38,29.18,149.03,0,0
2022-01-14-18,1.2,0.0,66.66,0,1
2022-01-14-19,0.0,0.0,0.0,0,1
2022-01-14-20,0.0,0.0,0.0,0,1
2022-01-14-21,0.0,0.0,0.0,0,1
2022-01-14-22,0.0,0.0,0.0,0,1
2022-01-14-23,0.0,0.0,0.0,0,1
2022-01-19-0,0.0,0.0,0.0,0,1
2022-01-19-1,0.0,0.0,0.0,0,1
2022-01-19-2,8.77,0.59,138.16,0,1
2022-01-19-3,5.51,0.0,126.36,0,1
2022-01-19-4,7.42,0.0,137.38,0,1
2022-01-19-5,4.24,0.0,130.81,0,1
2022-01-19-6,4.54,0.0,137.56,0,1
2022-01-19-7,4.08,0.0,139.04,0,1
2022-01-19-8,4.67,0.0,71.4,0,1
2022-01-19-9,5.15,0.0,76.52,0,1
2022-01-19-10,6.53,0.0,77.59,0,1
2022-01-19-11,4.86,0.0,81.18,0,1
2022-01-19-12,5.53,0.0,221.54,0,1
2022-01-19-13,5.79,0.0,85.9,0,1
2022-01-19-14,5.67,0.0,90.72,0,1
2022-01-19-15,5.14,0.0,90.9,0,1
2022-01-19-16,16.46,0.0,142.27,0,1
2022-01-19-17,25.55,8.8,143.73,0,1
2022-01-19-18,0.0,0.0,0.0,0,1
2022-01-19-19,0.0,0.0,0.0,0,1
2022-01-19-20,0.0,0.0,0.0,0,1
2022-01-19-21,0.0,0.0,0.0,0,1
2022-01-19-22,0.0,0.0,0.0,0,1
2022-01-19-23,0.0,0.0,0.0,0,1
2022-01-20-0,0.0,0.0,0.0,0,1
2022-01-20-1,0.0,0.0,0.0,0,1
2022-01-20-2,23.23,12.11,135.81,0,1
2022-01-20-3,22.64,10.07,134.75,0,1
2022-01-20-4,20.86,8.77,135.98,0,1
2022-01-20-5,13.78,4.43,134.58,0,1
2022-01-20-6,9.65,2.67,137.57,0,1
2022-01-20-7,9.87,3.91,138.74,0,1
2022-01-20-8,9.44,4.29,138.16,0,1
2022-01-20-9,9.33,5.36,138.16,0,1
2022-01-20-10,9.29,4.48,97.86,0,1
2022-01-20-11,20.71,11.81,136.99,0,1
2022-01-20-12,24.05,14.01,139.34,0,1
2022-01-20-13,27.06,15.79,248.27,0,0
2022-01-20-14,26.18,15.6,138.45,0,0
2022-01-20-15,27.24,16.79,137.56,0,0
2022-01-20-16,27.51,17.41,137.87,0,0
2022-01-20-17,28.61,20.1,136.99,0,0
2022-01-20-18,0.0,0.0,0.0,0,1
2022-01-20-19,0.0,0.0,0.0,0,1
2022-01-20-20,0.0,0.0,0.0,0,1
2022-01-20-21,0.0,0.0,0.0,0,1
2022-01-20-22,0.0,0.0,0.0,0,1
2022-01-20-23,0.0,0.0,0.0,0,1
2022-01-21-0,0.0,0.0,0.0,0,1
2022-01-21-1,0.0,0.0,0.0,0,1
2022-01-21-2,22.82,10.61,136.69,0,1
2022-01-21-3,25.77,12.62,136.69,0,1
2022-01-21-4,26.13,13.44,137.28,0,1
2022-01-21-5,26.05,13.5,136.99,0,1
2022-01-21-6,22.74,11.64,137.58,0,1
2022-01-21-7,16.46,6.23,139.63,0,1
2022-01-21-8,12.62,5.38,141.1,0,1
2022-01-21-9,10.17,4.2,140.51,0,1
2022-01-21-10,13.46,6.56,139.63,0,1
2022-01-21-11,10.23,4.59,104.95,0,1
2022-01-21-12,27.94,17.07,140.8,0,0
2022-01-21-13,28.58,17.43,139.91,0,0
2022-01-21-14,28.64,18.31,247.59,0,0
2022-01-21-15,18.42,12.6,139.89,0,1
2022-01-21-16,17.91,11.72,143.74,0,1
2022-01-21-17,27.61,17.18,142.21,0,0
2022-01-21-18,0.0,0.0,0.0,0,1
2022-01-21-19,0.0,0.0,0.0,0,1
2022-01-21-20,0.0,0.0,0.0,0,1
2022-01-21-21,0.0,0.0,0.0,0,1
2022-01-21-22,0.0,0.0,0.0,0,1
2022-01-21-23,0.0,0.0,0.0,0,1
2022-01-22-0,0.0,0.0,0.0,0,1
2022-01-22-1,0.0,0.0,0.0,0,1
2022-01-22-2,24.27,10.32,140.8,0,1
2022-01-22-3,30.39,17.99,140.21,0,0
2022-01-22-4,29.77,16.06,140.8,0,0
2022-01-22-5,28.89,15.9,141.69,0,0
2022-01-22-6,31.26,16.21,139.04,0,0
2022-01-22-7,32.56,17.77,139.63,0,0
2022-01-22-8,30.02,15.54,138.09,0,0
2022-01-22-9,21.52,8.71,143.8,0,1
2022-01-22-10,19.69,9.07,148.84,0,1
2022-01-22-11,14.87,5.0,144.5,0,1
2022-01-22-12,18.88,4.36,141.1,0,1
2022-01-22-13,24.32,6.88,140.1,0,1
2022-01-22-14,17.98,4.77,143.32,0,1
2022-01-22-15,19.75,4.17,208.4,0,1
2022-01-22-16,27.84,8.43,141.69,0,1
2022-01-22-17,44.14,29.38,223.3,0,0
2022-01-22-18,4.06,0.0,224.48,0,1
2022-01-22-19,0.0,0.0,0.0,0,1
2022-01-22-20,0.0,0.0,0.0,0,1
2022-01-22-21,0.0,0.0,0.0,0,1
2022-01-22-22,0.0,0.0,0.0,0,1
2022-01-22-23,0.0,0.0,0.0,0,1
2022-02-01-0,0.0,0.0,0.0,0,1
2022-02-01-1,0.0,0.0,0.0,0,1
2022-02-01-2,6.59,0.0,130.74,0,1
2022-02-01-3,31.46,21.57,138.16,0,0
2022-02-01-4,28.68,16.72,139.34,0,0
2022-02-01-5,28.49,16.98,138.75,0,0
2022-02-01-6,28.56,17.13,138.75,0,0
2022-02-01-7,28.74,17.46,138.75,0,0
2022-02-01-8,29.0,17.83,139.63,0,0
2022-02-01-9,29.7,18.81,139.93,0,0
2022-02-01-10,31.47,20.89,139.93,0,0
2022-02-01-11,29.7,18.52,139.34,0,0
2022-02-01-12,32.18,21.43,148.43,0,0
