segment,mean,median,max,sunlight_contamination,dark_segment
2017-01-01-0,0.0,0.0,0.0,0,1
2017-01-01-1,7.73,0.0,35.31,0,1
2017-01-01-2,14.14,14.08,34.03,0,1
2017-01-01-3,17.22,14.82,153.18,0,1
2017-01-01-4,37.04,35.44,200.63,0,0
2017-01-01-5,41.57,42.65,72.76,0,0
2017-01-01-6,22.41,21.63,55.62,0,0
2017-01-01-7,19.43,19.57,36.64,0,0
2017-01-01-8,19.45,17.9,95.68,0,0
2017-01-01-9,1.94,0.0,92.69,0,1
2017-01-01-10,0.0,0.0,0.0,0,1
2017-01-01-11,0.0,0.0,0.0,0,1
2017-01-01-12,0.0,0.0,0.0,0,1
2017-01-01-13,0.0,0.0,0.0,0,1
2017-01-01-14,0.0,0.0,0.0,0,1
2017-01-01-15,0.0,0.0,0.0,0,1
2017-01-01-16,0.0,0.0,0.0,0,1
2017-01-01-17,0.0,0.0,0.0,0,1
2017-01-01-18,0.0,0.0,0.0,0,1
2017-01-01-19,0.0,0.0,0.0,0,1
2017-01-01-20,0.0,0.0,0.0,0,1
2017-01-01-21,0.0,0.0,0.0,0,1
2017-01-01-22,0.0,0.0,0.0,0,1
2017-01-01-23,0.0,0.0,0.0,0,1
2017-01-02-0,0.0,0.0,0.0,0,1
2017-01-02-1,0.0,0.0,0.0,0,1
2017-01-02-2,8.45,6.9,234.68,0,1
2017-01-02-3,6.31,5.16,35.76,0,1
2017-01-02-4,6.48,4.39,41.62,0,1
2017-01-02-5,6.68,4.58,43.53,0,1
2017-01-02-6,8.37,5.1,53.59,0,1
2017-01-02-7,18.25,11.47,197.66,0,1
2017-01-02-8,62.32,47.37,239.45,0,0
2017-01-02-9,46.37,45.03,221.27,0,0
2017-01-02-10,37.67,33.37,161.11,0,0
2017-01-02-11,58.86,49.46,185.62,0,0
2017-01-02-12,100.35,90.92,239.15,0,0
2017-01-02-13,117.4,116.46,208.75,0,0
2017-01-02-14,118.24,121.41,198.74,0,0
2017-01-02-15,104.13,100.12,211.04,0,0
2017-01-02-16,48.59,41.22,187.79,0,0
2017-01-02-17,37.85,35.99,109.81,0,0
2017-01-02-18,9.59,0.0,101.23,0,1
2017-01-02-19,0.0,0.0,0.0,0,1
2017-01-02-20,0.0,0.0,0.0,0,1
2017-01-02-21,0.0,0.0,0.0,0,1
2017-01-02-22,0.0,0.0,0.0,0,1
2017-01-02-23,0.0,0.0,0.0,0,1
2017-01-03-0,0.0,0.0,0.0,0,1
2017-01-03-1,7.88,0.0,207.85,0,1
2017-01-03-2,12.61,9.92,221.82,0,1
2017-01-03-3,8.22,6.59,242.0,0,1
2017-01-03-4,7.62,6.0,47.91,0,1
2017-01-03-5,9.22,6.46,43.65,0,1
2017-01-03-6,13.75,9.36,51.97,0,1
2017-01-03-7,16.17,12.62,80.78,0,1
2017-01-03-8,30.64,24.89,160.44,0,0
2017-01-03-9,29.76,24.28,200.56,0,0
2017-01-03-10,131.97,133.96,245.33,0,0
2017-01-03-11,148.28,150.19,243.49,0,0
2017-01-03-12,67.9,61.26,176.18,0,0
2017-01-03-13,53.61,53.85,110.01,0,0
2017-01-03-14,31.19,30.49,73.49,0,0
