segment,mean,median,max,sunlight_contamination,dark_segment
2019-01-01-0,5.92,0.11,34.47,0,1
2019-01-01-3,2.91,3.27,14.0,0,1
2019-01-01-6,18.22,12.69,132.97,0,1
2019-01-01-9,56.51,56.32,176.45,0,0
2019-01-01-12,15.37,8.74,68.2,0,1
2019-01-01-15,5.24,4.49,40.29,0,1
2019-01-01-18,6.51,0.0,83.88,0,1
2019-01-01-21,0.0,0.0,0.0,0,1
2019-01-02-0,9.13,1.24,74.04,0,1
2019-01-02-3,2.6,2.79,5.6,0,1
2019-01-02-6,1.84,2.08,4.59,0,1
2019-01-02-9,1.7,1.9,6.51,0,1
2019-01-02-12,0.0,0.0,0.0,0,1
2019-01-02-15,0.0,0.0,0.0,0,1
2019-01-02-18,0.0,0.0,0.0,0,1
2019-01-02-21,0.0,0.0,0.0,0,1
2019-01-04-0,9.04,0.0,129.35,0,1
2019-01-04-3,3.23,3.39,20.26,0,1
2019-01-04-6,9.6,4.27,134.72,0,1
2019-01-04-9,38.02,38.93,104.83,0,0
2019-01-04-12,65.46,58.41,234.34,0,0
2019-01-04-15,38.39,31.11,222.49,0,0
2019-01-04-18,5.93,0.0,217.85,0,1
2019-01-04-21,0.0,0.0,0.0,0,1
2019-01-05-0,13.75,0.0,131.7,0,1
2019-01-05-3,20.66,18.64,106.83,0,0
2019-01-05-6,17.59,9.64,168.72,0,1
2019-01-05-9,31.37,25.28,199.27,0,0
2019-01-05-12,38.1,30.27,195.25,0,0
2019-01-05-15,19.98,14.15,224.48,0,1
2019-01-05-18,4.9,0.0,204.0,0,1
2019-01-05-21,0.0,0.0,0.0,0,1
2019-01-06-0,8.74,0.0,130.23,0,1
2019-01-06-3,5.46,5.68,21.32,0,1
2019-01-06-6,9.78,8.82,37.18,0,1
2019-01-06-9,40.22,43.76,190.66,0,0
2019-01-06-12,39.36,38.15,116.78,0,0
2019-01-06-15,14.94,11.32,222.71,0,1
2019-01-06-18,4.2,0.0,202.24,0,1
2019-01-06-21,0.0,0.0,0.0,0,1
2019-01-07-0,10.04,0.0,129.23,0,1
2019-01-07-3,5.93,6.16,22.86,0,1
2019-01-07-6,9.05,8.82,28.04,0,1
2019-01-07-9,21.81,20.53,64.71,0,0
2019-01-07-12,10.78,8.22,40.28,0,1
2019-01-07-15,9.84,5.97,214.5,0,1
2019-01-07-18,3.4,0.0,158.71,0,1
2019-01-07-21,0.0,0.0,0.0,0,1
2019-01-08-0,9.13,0.0,130.23,0,1
2019-01-08-3,4.81,4.98,21.95,0,1
2019-01-08-6,5.31,5.45,12.5,0,1
2019-01-08-9,20.73,20.66,46.58,0,0
2019-01-08-12,6.58,6.58,17.45,0,1
2019-01-08-15,9.73,5.57,138.34,0,1
2019-01-08-18,3.4,0.0,139.34,0,1
2019-01-08-21,0.0,0.0,0.0,0,1
2019-01-09-0,6.0,0.0,34.57,0,1
2019-01-09-3,4.56,4.99,14.14,0,1
2019-01-09-6,8.87,5.76,46.77,0,1
2019-01-09-9,11.02,8.34,51.28,0,1
2019-01-09-12,4.93,5.16,10.74,0,1
2019-01-09-15,6.39,3.68,66.23,0,1
2019-01-09-18,3.44,0.0,64.65,0,1
2019-01-09-21,0.0,0.0,0.0,0,1
2019-01-10-0,4.79,0.0,33.52,0,1
2019-01-10-3,2.75,3.08,5.81,0,1
2019-01-10-6,3.99,3.98,12.34,0,1
2019-01-10-9,5.31,5.67,11.12,0,1
2019-01-10-12,16.82,12.1,59.8,0,1
2019-01-10-15,8.15,5.32,80.94,0,1
2019-01-10-18,1.92,0.0,64.45,0,1
2019-01-10-21,0.0,0.0,0.0,0,1
2019-01-11-0,5.73,0.0,44.44,0,1
2019-01-11-3,3.61,4.09,9.98,0,1
2019-01-11-6,22.37,18.84,71.97,0,0
2019-01-11-9,6.82,7.06,19.83,0,1
2019-01-11-12,14.08,10.42,61.36,0,1
2019-01-11-15,7.32,4.02,83.72,0,1
2019-01-11-18,2.1,0.0,70.7,0,1
2019-01-11-21,0.0,0.0,0.0,0,1
2019-01-12-0,5.46,0.0,49.63,0,1
2019-01-12-3,4.45,4.8,13.52,0,1
2019-01-12-6,3.71,4.09,12.42,0,1
2019-01-12-9,3.01,3.38,7.54,0,1
2019-01-12-12,8.29,6.58,37.91,0,1
